,BW금액,CB금액,경영권분쟁소송,불성실공시법인지정카운트,상호변경카운트,업종변경카운트,유상증자금액,조회공시요구카운트,최대주주변경을수반하는주식담보제공금액,최대주주변경을수반하는주식양수도금액,최대주주변경카운트,타법인주식및출자증권취득결정금액,특수관계인에대한자금대여금액,결산기간_거래량증가,결산기간_주가변동률,매출채권,영업현금흐름,차입금의존도,최대주주비율,판매 및 관리비,최대주주비율_변동성
2017-10,522712628.8659794,6252822631.579897,0.16237113402061856,0.0979381443298969,0.06701030927835051,0.04896907216494845,1842139372.222938,0.20747422680412372,1610682358.431701,2262157409.0167527,0.21778350515463918,5191370327.265464,0.0,inf,0.4042350976855292,10926085.947166022,-2663723.7749130153,16.469151632302406,33.07082340736548,6762938.132302404,0.00840299239982191
2018-01,610429262.3941959,6193974390.326481,0.15114873035066506,0.09673518742442563,0.05562273276904474,0.03869407496977025,286405657.07738817,0.18742442563482467,1407828064.5441353,1962180847.56711,0.18016928657799275,2165317024.928658,6.142684401451028,inf,0.3085347686204746,12182569.497126158,372805.0041817815,18.24987404272471,34.118469431965075,3041273.550101774,0.005193624838552735
2018-04,584223417.3602854,6588541461.56956,0.18430439952437574,0.11771700356718193,0.0558858501783591,0.036860879904875146,620654098.9191439,0.16527942925089179,1033482874.9464923,1705217394.4470868,0.18549346016646848,5930509293.820452,223.30083234244947,inf,0.38609952904993794,12274245.295952238,-6986085.47172513,18.349679944510502,31.265237863535592,7875435.898064802,inf
2018-07,313023255.4372093,5597930058.093023,0.19186046511627908,0.11046511627906977,0.05581395348837209,0.053488372093023255,410224377.5918605,0.13953488372093023,1210012926.488372,1662490757.6965117,0.1511627906976744,1869025028.4372094,5.906976744186046,inf,0.25680493810928423,11988912.24916376,587445.1039263565,19.45272189922481,33.29511841626281,3154722.7832945734,inf
2018-10,2152595744.789668,11193164760.99631,0.24354243542435425,0.1900369003690037,0.08856088560885608,0.05166051660516605,1486215526.1568265,0.16789667896678967,1676495319.909594,2021608243.8911438,0.24169741697416974,6777565412.081181,327.8892988929889,inf,0.6201811090062709,17415634.96697417,-8374137.820664206,32.9152905904059,23.68926611512971,10485884.383985242,inf
2019-01,576676384.3673469,4651015757.959184,0.08163265306122448,0.09329446064139942,0.037900874635568516,0.03935860058309038,451729404.0685131,0.13411078717201166,2336598153.090379,3073288633.0131197,0.14431486880466474,2231923864.0932946,14.577259475218659,inf,0.34866706389555685,16276813.910215016,-1908388.0742043243,18.89432458697765,38.29151305596824,4974459.924777697,-0.009941994359235562
2019-04,731385006.3532401,4544740457.433291,0.13087674714104194,0.10800508259212198,0.045743329097839895,0.04193138500635324,514235391.46632785,0.16645489199491742,2233147837.231258,2331077862.0495553,0.14866581956797967,2348287330.4129605,0.0,inf,0.31889398943121555,17246293.796350062,-165935.77677573086,21.92963468869123,34.784445735196954,5001049.464870818,-0.008932328191325018
2019-07,672040586.2457722,4297360158.399098,0.1319052987598647,0.11273957158962795,0.06989853438556934,0.040586245772266064,420653664.84780157,0.18940248027057496,2001421744.5276213,2540443588.427283,0.21420518602029312,2855889255.4205184,0.0,inf,0.14326536092363978,11620976.371364148,907852.01606351,20.93593761743705,33.02775019667934,3565077.523510898,inf
2019-10,386470588.2352941,3981953523.529412,0.19647058823529412,0.10941176470588235,0.07294117647058823,0.03764705882352941,532799673.78705883,0.24,3286630233.8917646,2870067516.4117646,0.21294117647058824,4897897782.691765,0.0,inf,0.19135085978208768,9901914.57085294,-3507142.7770058815,18.86625294117647,33.550226913265995,6021687.599749018,inf
2020-01,1178512396.6942148,7754827727.272727,0.2809917355371901,0.16859504132231404,0.09421487603305785,0.03801652892561983,6563151725.216529,0.29256198347107437,1506762152.1157024,1942897433.1173553,0.24462809917355371,9942113626.87934,1625.1239669421489,inf,0.4002516450212936,14380026.201334713,-14502539.134133609,31.418826446280992,23.067225977739266,13296742.604027549,inf
2020-04,1344077961.0194902,7483786845.277361,0.2818590704647676,0.15442278860569716,0.08545727136431784,0.03298350824587706,7242335559.521739,0.25037481259370314,1328679431.5697153,1607216086.3973014,0.22788605697151423,8796287985.175413,1459.0704647676162,inf,0.41219612713335774,15230157.497612443,-15465057.616386808,31.48314842578711,25.02731340271057,12756380.399100449,inf
2020-07,920890937.0199692,10009814002.764977,0.23963133640552994,0.15207373271889402,0.10445468509984639,0.02304147465437788,6830860865.341014,0.2488479262672811,1240696552.9877112,1868970748.829493,0.21505376344086022,6018386266.678955,1487.2503840245777,inf,0.5172429797351227,14324628.793052996,-14912341.034274194,31.00867511520737,25.306040930199934,12745342.190748848,inf
2020-10,1011013215.8590308,11406230970.337738,0.21879588839941264,0.14243759177679882,0.09985315712187959,0.024963289280469897,7090797618.854626,0.19676945668135096,1330743017.5800295,2087438519.5286343,0.22026431718061673,7570267426.0837,1424.3759177679883,inf,0.5809990519949692,14865650.154008811,-12123578.973975772,29.2271953010279,25.49896183053029,13935048.435374452,inf
2021-01,1416666666.6666667,13513934076.156157,0.23573573573573572,0.12762762762762764,0.08858858858858859,0.016516516516516516,4876788377.1306305,0.16816816816816818,1270147607.9804804,1600011182.3828828,0.21171171171171171,3656854698.25976,247.74774774774775,inf,0.6885747559556242,15470516.734155403,-5087094.2322234735,29.344305555555554,24.783964329347537,8278176.371356357,inf
