,기업공시코드,시장
630,A039530,코스닥
631,A027970,코스피
632,A060310,코스닥
633,A030350,코스닥
634,A045970,코스닥
635,A052770,코스닥
636,A052190,코스닥
637,A001550,코스피
638,A018680,코스닥
639,A139050,코스닥
640,A096760,코스피
641,A900070,코스닥
642,A900180,코스닥
643,A109960,코스닥
644,A080440,코스닥
645,A094480,코스닥
646,A095190,코스닥
647,A047080,코스닥
648,A082850,코스닥
649,A045890,코스닥
650,A050540,코스닥
651,A008970,코스피
652,A141020,코스닥
653,A009270,코스피
654,A109820,코스닥
655,A124500,코스닥
656,A004770,코스피
657,A082210,코스닥
658,A004960,코스피
659,A101000,코스닥
660,A900090,코스닥
661,A001540,코스닥
662,A187790,코스닥
663,A060150,코스닥
664,A158310,코스닥
665,A078130,코스닥
666,A011720,코스피
667,A082390,코스닥
668,A051980,코스닥
669,A065150,코스닥
670,A012030,코스피
671,A078940,코스닥
672,A115530,코스닥
673,A196700,코스닥
674,A033530,코스피
675,A010580,코스피
676,A017800,코스피
677,A122800,코스닥
678,A049080,코스닥
679,A033230,코스닥
680,A002710,코스피
681,A096690,코스닥
682,A047820,코스닥
683,A104040,코스닥
684,A064800,코스닥
685,A023960,코스피
686,A090710,코스닥
687,A051380,코스닥
688,A073570,코스닥
689,A079810,코스닥
690,A072520,코스닥
691,A065500,코스닥
692,A054220,코스닥
693,A037760,코스닥
694,A050890,코스닥
695,A103130,코스피
696,A085670,코스닥
697,A205100,코스닥
698,A051160,코스닥
699,A066700,코스닥
700,A008040,코스피
701,A184230,코스닥
702,A008800,코스닥
703,A224060,코스닥
704,A204630,코스닥
705,A950130,코스닥
706,A123840,코스닥
707,A001570,코스피
708,A027040,코스닥
709,A067290,코스닥
710,A154040,코스닥
711,A078600,코스닥
712,A007630,코스피
713,A140520,코스닥
714,A035720,코스닥
715,A030720,코스피
716,A160600,코스닥
717,A002410,코스피
718,A178780,코스닥
719,A097780,코스닥
720,A109070,코스피
721,A044380,코스피
722,A036630,코스닥
723,A018620,코스닥
724,A002880,코스피
725,A200230,코스닥
726,A097230,코스피
727,A047440,코스닥
728,A057880,코스닥
729,A086830,코스닥
730,A042940,코스닥
731,A191420,코스닥
732,A215360,코스닥
733,A047560,코스닥
734,A210980,코스피
735,A095270,코스닥
736,A058110,코스닥
737,A023410,코스닥
738,A039230,코스닥
739,A036810,코스닥
740,A080220,코스닥
741,A195990,코스닥
742,A005980,코스피
743,A016670,코스닥
744,A182400,코스닥
745,A168330,코스닥
746,A112240,코스닥
747,A217730,코스닥
748,A011690,코스피
749,A017000,코스닥
750,A192250,코스닥
751,A038010,코스닥
752,A142210,코스닥
753,A194610,코스닥
754,A091440,코스닥
755,A039860,코스닥
756,A200710,코스닥
757,A043290,코스닥
758,A021880,코스닥
759,A126880,코스닥
760,A059120,코스닥
761,A040910,코스닥
762,A084650,코스닥
763,A024880,코스닥
764,A005010,코스피
765,A080000,코스닥
766,A001230,코스피
767,A054180,코스닥
768,A217190,코스닥
769,A160550,코스닥
770,A084180,코스닥
771,A042660,코스피
772,A123330,코스닥
773,A138360,코스닥
774,A097520,코스닥
775,A191410,코스닥
776,A067310,코스닥
777,A038870,코스닥
778,A197210,코스닥
779,A214870,코스닥
780,A083310,코스닥
781,A039240,코스닥
782,A084870,코스피
783,A060560,코스닥
784,A013310,코스닥
785,A230980,코스닥
786,A241790,코스닥
787,A068240,코스닥
788,A061040,코스닥
789,A206640,코스닥
790,A003280,코스피
791,A145020,코스닥
792,A002220,코스피
793,A214680,코스닥
794,A175140,코스닥
795,A040160,코스닥
796,A206560,코스닥
797,A027740,코스피
798,A046310,코스닥
799,A156100,코스닥
800,A067570,코스닥
801,A008260,코스피
802,A220180,코스닥
803,A122640,코스닥
804,A021650,코스닥
805,A246690,코스닥
806,A071850,코스닥
807,A073070,코스닥
808,A046940,코스닥
809,A208710,코스닥
810,A032580,코스닥
811,A060720,코스닥
812,A008250,코스피
813,A090850,코스닥
814,A039490,코스피
815,A099660,코스닥
816,A102460,코스피
817,A024840,코스닥
818,A220630,코스닥
819,A193250,코스닥
820,A003680,코스피
821,A032350,코스피
822,A030520,코스닥
823,A155960,코스닥
824,A105840,코스피
825,A204840,코스닥
826,A090460,코스닥
827,A065660,코스닥
828,A010600,코스피
829,A013000,코스피
830,A034940,코스닥
831,A225530,코스닥
832,A224110,코스닥
833,A044480,코스닥
834,A130740,코스닥
835,A031390,코스닥
836,A137950,코스닥
837,A145210,코스피
838,A201490,코스닥
839,A015590,코스피
840,A208860,코스닥
841,A241520,코스닥
842,A192390,코스닥
843,A004410,코스피
844,A195440,코스닥
845,A015750,코스닥
846,A206400,코스닥
847,A134780,코스닥
848,A122690,코스닥
849,A033600,코스닥
850,A087010,코스닥
851,A053290,코스닥
852,A214270,코스닥
853,A007530,코스닥
854,A222110,코스닥
855,A001290,코스피
856,A050120,코스닥
857,A087730,코스닥
858,A217270,코스닥
859,A232140,코스닥
860,A039840,코스닥
861,A067990,코스닥
862,A208640,코스닥
863,A090410,코스닥
864,A021040,코스닥
865,A220100,코스닥
866,A009310,코스피
867,A020560,코스피
868,A215790,코스닥
869,A086250,코스닥
870,A234100,코스닥
871,A259630,코스닥
872,A234920,코스닥
873,A032500,코스닥
874,A189980,코스닥
875,A196300,코스닥
876,A241710,코스닥
877,A226400,코스닥
878,A066410,코스닥
879,A082740,코스피
880,A272290,코스닥
881,A204620,코스닥
882,A182690,코스닥
883,A025980,코스닥
884,A009620,코스닥
885,A018470,코스피
886,A177350,코스닥
887,A014280,코스피
888,A020400,코스닥
889,A258610,코스닥
890,A065450,코스닥
891,A255220,코스닥
892,A222080,코스닥
893,A010820,코스피
894,A189300,코스닥
895,A226350,코스닥
896,A068400,코스피
897,A005950,코스피
898,A057540,코스닥
899,A241690,코스닥
900,A205470,코스닥
901,A095500,코스닥
902,A092600,코스닥
903,A093640,코스닥
904,A037030,코스닥
905,A111870,코스닥
906,A234300,코스닥
907,A042370,코스닥
908,A084990,코스닥
909,A073490,코스닥
910,A200470,코스닥
911,A008600,코스피
912,A204020,코스닥
913,A016920,코스닥
914,A043590,코스닥
915,A038160,코스닥
916,A067000,코스닥
917,A263920,코스닥
918,A900140,코스피
919,A118990,코스닥
920,A243840,코스닥
921,A154030,코스닥
922,A161580,코스닥
923,A007680,코스닥
924,A084680,코스피
925,A002680,코스닥
926,A161570,코스닥
927,A174880,코스닥
928,A078350,코스닥
929,A017180,코스피
930,A217620,코스닥
931,A222980,코스닥
932,A219750,코스닥
933,A237880,코스닥
934,A176440,코스닥
935,A173940,코스닥
936,A123010,코스닥
937,A095720,코스피
938,A215600,코스닥
939,A226440,코스닥
940,A067080,코스닥
941,A175250,코스닥
942,A119610,코스닥
943,A226360,코스닥
944,A121890,코스닥
945,A242040,코스닥
946,A290670,코스닥
947,A245620,코스닥
948,A110020,코스닥
949,A290660,코스닥
