,매출총이익,총자본,영업이익,당기순이익,매출채권,판매 및 관리비,영업현금흐름,최대주주비율,결산기간_주가변동률,차입금의존도,조회공시요구카운트,BW금액,최대주주변경카운트,최대주주비율_변동성,유상증자금액,불성실공시법인지정카운트,상호변경카운트,결산기간_거래량증가,타법인주식및출자증권취득결정금액,CB금액,최대주주변경을수반하는주식양수도금액
2014-07,0.18231243220609852,0.16073004371357755,0.1284792085176944,0.09251118276775695,0.12632554811875646,0.12897660637788175,0.07389922523948729,0.03730437209515628,0.025995592139708423,0.010367521909633037,0.010865383212044354,7.128332618781725e-05,0.0025578058256851793,0.0018536317411596082,0.001061813473131004,0.0006993215390785594,0.0010032145070995016,0.008098184518731845,0.00061129618375413,0.005769840560802098,0.0005064920265752508
2014-10,0.1763324157070342,0.15687346947807515,0.1258073105740478,0.09736854745641685,0.12082432001849075,0.1270582919163961,0.07680193685937682,0.04262404839865016,0.02588838858537137,0.010995654714133071,0.011955243065263374,3.137681944636316e-05,0.0022307352269315146,0.004658718065521082,0.0006443332592675927,0.0006716558104933744,0.0006765159887967878,0.007626996654494002,0.00045014191874200103,0.009231007216037567,0.0012488922670139682
2015-01,0.16689815661465707,0.15205616325192767,0.12740085777934207,0.09383693950923917,0.11899537063184784,0.11586692589510045,0.0809249864148161,0.05460598910454524,0.02558303193473014,0.010805014045830305,0.017136080227039538,4.9386817635875094e-05,0.004625560213206601,0.007797564646239204,0.00028741152535090883,0.0009304146406886723,0.0006073346054149103,0.00671857104384489,0.0004227224875608088,0.012474624596024017,0.001976894014958473
2015-04,0.16900320815852404,0.1487548576202143,0.13930722081233549,0.10276085664114767,0.10545636005637263,0.1155434272924557,0.08239296820975262,0.04578849325993751,0.020198531961234546,0.01167688256822015,0.018186698751942433,5.495516334404884e-05,0.005958236458024988,0.0035697026291237506,0.0008541762089013677,0.0010998742569772147,0.00046553499153411586,0.01059910904273248,0.0004875395065122924,0.015817194040104877,0.00202417237060782
2015-07,0.16560861182568423,0.14945898567026253,0.1293240035718418,0.0939199272159527,0.11757153301974635,0.11744616044727262,0.08615322751967618,0.04699026128192643,0.020536457830425067,0.00613856596389543,0.017456820039564416,0.00014326403758946495,0.0055864452352567,0.008787913643082146,0.0007590610482604888,0.001263966147137938,0.0007643094228767533,0.009793193856192284,0.001087839709003111,0.018999456585469105,0.0022099959288844114
2015-10,0.15631097125084575,0.1462984943055309,0.12111814252000574,0.09275351366894566,0.10649963886068273,0.11031264950042746,0.08562887369837571,0.05955210995838995,0.018632171020723582,0.0090396753605627,0.019637182988789973,0.00025563799863475623,0.0077202235599901844,0.023375912827349937,0.0006303590427367282,0.0012755953453103476,0.0009561990588870045,0.009576304304760032,0.0024608579088717907,0.025567011966897837,0.002398474853281212
2016-01,0.1605418254045899,0.14394495543148458,0.1168341850567243,0.08460238977444101,0.1131428195390694,0.11582062061413341,0.08692663227355263,0.05996011540571207,0.02015792802851685,0.007011098953505849,0.015011290825474853,0.00013726961813104364,0.007754636498561203,0.027074321212196915,0.000341996249458801,0.0015460194294035286,0.00084435665101987,0.009687843891648892,0.0013055060000692624,0.025364901339000778,0.0019892878033046595
2016-04,0.16519266118837195,0.1420163433387693,0.12840050410095685,0.09946621766065804,0.10662856270221255,0.11391240932020356,0.09344068705020218,0.05377770942798187,0.02135660327459096,0.007929007771089005,0.011320657341159357,0.00018547485065084952,0.00768926399265665,0.012666246196621754,0.00020200028430175933,0.001984351623049753,0.0015994902461941487,0.007049103858215222,0.0008418173906446402,0.022250689800042082,0.0020901985814276254
2016-07,0.16163794466915563,0.1420415258021446,0.13164661696563373,0.10479411627392853,0.1031846098739293,0.10226673813391823,0.08233382755608634,0.06495342299546589,0.02133803995097442,0.011873372283567373,0.010635904954644483,0.00017899475330233745,0.008319078239963069,0.01650027981685164,0.0009811790567096437,0.0022057798346748793,0.0009580739123617565,0.007161624150061455,0.0023480091682564867,0.023278815893297652,0.0013620457150725813
2016-10,0.16144765248400755,0.1430240875345076,0.13162283270546957,0.11048161094929086,0.1090112431159961,0.10442019359979984,0.08190259375302673,0.07103803407439095,0.020297709228582123,0.010017146987329865,0.007290656470280627,0.00016834059780129607,0.00654881593607124,0.011097293034774223,0.0009254813841079013,0.002225139997548756,0.0005632728108637592,0.0038475628648056586,0.0015692743160760146,0.02146714342347485,0.0010339147317945027
