,회사명,기업공시코드,공시일,발행가(원),발행방법,주식종류,발행주식수,발행금액
26,롯데관광개발,032350,2013-07-23,8100,유상증자(제3자배정),기명식 보통,13613632,110270419200
27,대성산업,128820,2013-07-15,7000,유상증자(구주주배정),기명식 보통,7520000,52640000000
28,한국앤컴퍼니,000240,2013-07-15,19462,유상증자(공모증자),기명식 보통,64705313,1259294801606
29,대양금속,009190,2013-07-12,1147,유상증자(제3자배정),기명식 보통,2300000,2638100000
30,NH농협증권,016420,2013-07-11,5000,유상증자(제3자배정),기명식 보통,30000000,150000000000
31,에이프로젠,007460,2013-07-10,2155,유상증자(제3자배정),기명식 보통,3248259,6999998145
32,아센디오,012170,2013-07-02,1160,유상증자(일반공모증자),기명식 보통,862000,999920000
33,우리종금,010050,2013-06-26,500,유상증자(구주주배정),기명식 보통,280000000,140000000000
34,세원이앤씨,091090,2013-06-19,3715,유상증자(제3자배정),기명식 보통,4092769,15204636835
35,범양건영,002410,2013-06-17,5000,유상증자(제3자배정),기명식 보통,4201,21005000
36,현대엘리베이터,017800,2013-06-14,60600,유상증자(공모증자),기명식 보통,1600000,96960000000
37,코리아써키트,007810,2013-06-12,14600,유상증자(구주주배정),기명식 보통,4886421,71341746600
38,쌍용자동차,003620,2013-06-05,5500,유상증자(제3자배정),기명식 보통,14545455,80000002500
39,동양건설,005900,2013-05-30,5000,유상증자(제3자배정),기명식 보통,2238604,11193020000
40,동성화학,005190,2013-05-28,35100,유상증자(제3자배정),기명식 보통,675213,23699976300
41,한솔아트원제지,007190,2013-05-23,2400,유상증자(제3자배정),기명식 보통,8333334,20000001600
42,대양금속,009190,2013-05-23,955,유상증자(공모증자),기명식 보통,4996481,4771639355
43,남광토건,001260,2013-05-22,5000,유상증자(제3자배정),기명식 보통,689676,3448380000
44,대양금속,009190,2013-05-22,1147,유상증자(제3자배정),기명식 보통,2112000,2422464000
45,진양산업,003780,2013-05-20,2265,유상증자(구주주배정),기명식 보통,3000000,6795000000
46,조비,001550,2013-05-16,10950,유상증자(제3자배정),기명식 보통,1369863,14999999850
47,아센디오,012170,2013-05-14,1817,유상증자(제3자배정),기명식 보통,12246098,22251160066
48,메리츠화재,000060,2013-05-10,11990,유상증자(제3자배정),기명식 보통,4628800,55499312000
49,HL D&I,014790,2013-04-30,6220,유상증자(제3자배정),기명식 보통,4360470,27122123400
50,두산건설,011160,2013-04-29,2700,유상증자(제3자배정),기명식 보통,211708624,571613284800
51,두산건설,011160,2013-04-25,2340,유상증자(구주주배정),기명식 보통,166666667,390000000780
52,로케트전기,000420,2013-04-25,745,유상증자(공모증자),기명식 보통,1342280,999998600
53,국동,005320,2013-04-25,1795,유상증자(공모증자),기명식 보통,557100,999994500
54,이월드,084680,2013-04-19,684,유상증자(제3자배정),기명식 보통,14619884,10000000656
55,인스코비,006490,2013-04-18,1725,유상증자(공모증자),기명식 보통,577000,995325000
56,기업은행,024110,2013-04-18,11923,유상증자(제3자배정),기명식 보통,4193575,49999994725
57,웰바이오텍,010600,2013-04-16,1140,유상증자(공모증자),기명식 보통,841800,959652000
58,쎌마테라퓨틱스,015540,2013-04-03,931,유상증자(제3자배정),기명식 보통,2148228,2000000268
59,HJ중공업,097230,2013-04-02,7220,유상증자(구주주배정),기명식 보통,21000000,151620000000
60,에이프로젠,007460,2013-03-28,500,유상증자(제3자배정),기명식 보통,7177000,3588500000
61,동양건설,005900,2013-03-27,5000,유상증자(제3자배정),기명식 보통,623751,3118755000
62,인스코비,006490,2013-03-18,1990,유상증자(제3자배정),기명식 보통,1155770,2299982300
63,넥솔론,110570,2013-03-14,1380,유상증자(제3자배정),기명식 보통,7246376,9999998880
64,미래아이앤지,007120,2013-03-11,3650,유상증자(제3자배정),기명식 보통,547946,2000002900
65,이코리아리츠,138440,2013-03-08,5000,유상증자(공모증자),기명식 보통,160000,800000000
66,이코리아리츠,138440,2013-02-28,5000,유상증자(제3자배정),기명식 보통,660000,3300000000
67,유니켐,011330,2013-02-27,500,유상증자(구주주배정후실권주일반공모-잔여주식제3자배정),기명식 보통,27420000,13710000000
68,플레이그램,009810,2013-02-21,526,유상증자(제3자배정),기명식 보통,1899239,998999714
69,비케이탑스,030790,2013-02-19,1190,유상증자(제3자배정),기명식 보통,9600000,11424000000
70,영원무역,111770,2013-02-08,35321,유상증자(DR),기명식 보통,3500000,123623500000
71,대양금속,009190,2013-02-06,1147,유상증자(제3자배정),기명식 보통,40751000,46741397000
72,대한해운,005880,2013-02-06,100000,유상증자(제3자배정),기명식 보통,4198678,419867800000
73,한솔테크닉스,004710,2013-02-05,11600,유상증자(주주배정후실권주일반공모),기명식 보통,4627397,53677805200
74,에넥스,011090,2013-02-04,500,유상증자,기명식 보통,14517641,7258820500
75,글로스텍,012410,2013-02-01,1820,유상증자(공모증자),기명식 보통,549450,999999000
76,범양건영,002410,2013-01-28,5000,제3자배정유상증자(출자전환),기명식 보통,26279,131395000
77,인스코비,006490,2013-01-11,2305,유상증자(제3자배정),기명식 보통,672460,1550020300
78,인스코비,006490,2013-01-09,2185,유상증자(제3자배정),기명식 보통,1373030,3000070550
79,한국콜마홀딩스,024720,2013-01-07,15250,유상증자(제3자배정),기명식 보통,7010854,106915523500
80,현대엘리베이터,017800,2013-01-07,63600,유상증자(주주배정후실권주일반공모),기명식 보통,1300000,82680000000
81,NICE,034310,2013-01-04,60000,유상증자(공모증자),기명식 보통,329573,19774380000
82,씨아이테크,004920,2013-01-03,1665,유상증자(제3자배정),기명식 보통,900900,1499998500
83,AK홀딩스,006840,2013-01-02,23317,유상증자(공모증자),기명식 보통,3439235,80192642495
84,HMM,011200,2013-01-02,17900,유상증자(공모증자),기명식 보통,11000000,196900000000
85,신성이엔지,011930,2013-01-02,1020,유상증자(구주주배정후실권주일반공모),기명식 보통,18300000,18666000000
86,조비,001550,2012-12-27,10100,유상증자(제3자배정),기명식 보통,990099,9999999900
87,메타랩스,090370,2012-12-27,4405,유상증자(제3자배정),기명식 보통,3000000,13215000000
88,알보젠코리아,002250,2012-12-26,14000,유상증자(제3자배정),기명식 보통,1629995,22819930000
89,NH농협증권,016420,2012-12-26,5000,유상증자(제3자배정),기명식 보통,30000000,150000000000
90,한솔홈데코,025750,2012-12-24,1000,유상증자(구주주배정),기명식 보통,10000000,10000000000
91,롯데손해보험,000400,2012-12-20,2920,유상증자(구주주배정),기명식 보통,25230000,73671600000
92,KEC,092220,2012-12-20,500,유상증자(공모증자),기명식 보통,40000000,20000000000
93,대한전선,001440,2012-12-17,4345,유상증자(주주배정후실권주일반공모),기명식 보통,80000000,347600000000
94,한올바이오파마,009420,2012-12-06,7910,유상증자(제3자배정),기명식 보통,3744500,29618995000
95,대한해운,005880,2012-12-05,100000,유상증자(제3자배정),기명식 보통,365026,36502600000
96,유니켐,011330,2012-11-26,500,유상증자(제3자배정),기명식 보통,4000000,2000000000
97,하이스틸,071090,2012-11-22,19700,유상증자(주주배정후실권주일반공모),기명식 보통,640000,12608000000
98,씨아이테크,004920,2012-11-07,1370,유상증자(공모증자),기명식 보통,729900,999963000
99,웅진씽크빅,095720,2012-11-06,5510,유상증자(제3자배정),기명식 보통,3106610,17117421100
100,이코리아리츠,138440,2012-11-06,5660,유상증자(소액공모증자),기명식 보통,26900,152254000
101,AK홀딩스,006840,2012-11-02,23400,유상증자(제3자배정),기명식 보통,1762917,41252257800
102,넥솔론,110570,2012-10-11,1550,유상증자(주주배정후실권주일반공모),기명식 보통,35696080,55328924000
103,유니켐,011330,2012-10-02,500,유상증자(공모증자),기명식 보통,1995997,997998500
104,마니커,027740,2012-09-18,552,유상증자(구주주배정),기명식 보통,25000000,13800000000
105,대한해운,005880,2012-09-12,100000,유상증자(제3자배정),기명식 보통,653143,65314300000
106,팜젠사이언스,004720,2012-09-07,974,유상증자(주주배정),기명식 보통,11000000,10714000000
107,동부건설,005960,2012-09-05,5000,유상증자(주주배정후실권주일반공모),기명식 보통,10801354,54006770000
108,쌍용자동차,003620,2012-08-27,5080,유상증자(제3자배정),기명식 보통,68250,346710000
109,미래산업,025560,2012-08-20,254,유상증자(주주배정후실권주일반공모),기명식 보통,59758887,15178757298
110,이코리아리츠,138440,2012-08-20,6870,유상증자(제3자배정),기명식 보통,147700,1014699000
111,대유플러스,000300,2012-08-16,1260,유상증자(주주배정후실권주제3자배정),기명식 보통,24400000,30744000000
112,KB캐피탈,021960,2012-08-03,13750,유상증자(주주배정후실권주제3자배정),기명식 보통,4529000,62273750000
113,영원무역홀딩스,009970,2012-07-30,56600,유상증자(제3자배정현물출자),기명식 보통,808565,45764779000
114,티웨이홀딩스,004870,2012-07-24,2230,유상증자(제3자배정),기명식 보통,5784750,12899992500
115,삼양홀딩스,000070,2012-07-20,50626,유상증자(현물출자),기명식 보통,1948811,98660505686
116,동양철관,008970,2012-07-19,6000,유상증자(제3자배정),기명식 보통,33563,201378000
117,파미셀,005690,2012-07-04,3855,유상증자(주주배정),기명식 보통,8121000,31306455000
118,인스코비,006490,2012-07-02,2720,유상증자(제3자배정),기명식 보통,1470596,4000021120
119,성지건설,005980,2012-06-27,5000,유상증자(제3자배정),기명식 보통,51200,256000000
120,글로스텍,012410,2012-06-25,4695,유상증자(제3자배정),기명식 보통,425986,2000004270
121,에이프로젠,007460,2012-06-22,785,유상증자(주주배정후실권주일반공모),기명식 보통,13000000,10205000000
122,금호건설,002990,2012-06-18,9100,유상증자(제3자배정),기명식 보통,24175825,220000007500
123,제이준코스메틱,025620,2012-06-12,632,유상증자(제3자배정),기명식 보통,4746835,2999999720
124,DB,012030,2012-06-11,6010,유상증자(주주배정후실권주일반공모),기명식 보통,9106316,54728959160
125,금호타이어,073240,2012-06-05,13700,유상증자(제3자배정),기명식 보통,12627736,172999983200
126,대유에이텍,002880,2012-06-04,1260,유상증자(주주배정후실권주제3자배정),기명식 보통,17000000,21420000000
127,쌍용자동차,003620,2012-05-31,5540,유상증자(제3자배정),기명식 보통,644550,3570807000
128,금호건설,002990,2012-05-30,7580,유상증자(주주배정후실권주일반공모),기명식 보통,7835,59389300
129,대한은박지,007480,2012-05-24,2414,유상증자(제3자배정),기명식 보통,49500000,119493000000
130,동양철관,008970,2012-05-24,9000,유상증자(제3자배정),기명식 보통,84408,759672000
131,에이엔피,015260,2012-05-22,714,유상증자(주주배정후실권주일반공모),기명식 보통,10000000,7140000000
132,티웨이홀딩스,004870,2012-05-14,2170,유상증자(공모증자),기명식 보통,460800,999936000
133,글로스텍,012410,2012-04-23,4790,유상증자(제3자배정),기명식 보통,668062,3200016980
134,배명금속,011800,2012-04-17,500,유상증자(공모증자),기명식 보통,1999998,999999000
135,글로스텍,012410,2012-04-10,5205,유상증자(제3자배정),기명식 보통,192130,1000036650
136,금호건설,002990,2012-04-09,7580,유상증자(제3자배정),기명식 보통,1580704,11981736320
137,진흥기업,002780,2012-04-09,500,유상증자(제3자배정),기명식 보통,421578080,210789040000
138,대양금속,009190,2012-04-05,854,유상증자(공모증자),기명식 보통,1159250,989999500
139,대한해운,005880,2012-04-04,100000,유상증자(제3자배정),기명식 보통,4065782,406578200000
140,세하,027970,2012-03-30,1000,유상증자(구주주배정),기명식 보통,9000000,9000000000
141,금호건설,002990,2012-03-21,7580,제3자배정유상증자(출자전환),기명식 보통,33905168,257001173440
142,남광토건,001260,2012-03-16,7500,유상증자(제3자배정),기명식 보통,14980759,112355692500
143,넥센,005720,2012-03-13,66800,유상증자(공모증자),기명식 보통,2410077,160993143600
144,현대페인트,011720,2012-03-07,500,유상증자(공모증자),기명식 보통,1999998,999999000
145,웰바이오텍,010600,2012-03-02,1200,유상증자(공모증자),기명식 보통,833000,999600000
146,팜젠사이언스,004720,2012-02-29,1246,유상증자(공모증자),기명식 보통,802560,999989760
147,글로스텍,012410,2012-02-24,4985,제3자배정유상증자,기명식 보통,1003000,4999955000
148,SK하이닉스,000660,2012-02-22,23000,유상증자(제3자배정),기명식 보통,101850000,2342550000000
149,에이리츠,140910,2012-02-17,5000,유상증자(구주주배정),기명식 보통,1494185,7470925000
150,인스코비,006490,2012-02-13,996,유상증자(제3자배정),기명식 보통,1004000,999984000
151,한솔테크닉스,004710,2012-02-03,16850,유상증자(주주배정후실권주일반공모),기명식 보통,2999240,50537194000
152,HL D&I,014790,2012-02-01,13500,유상증자(제3자배정),기명식 보통,7407414,100000089000
153,포스코플랜텍,051310,2012-01-30,10900,유상증자(제3자배정),기명식 보통,5206671,56752713900
154,팜젠사이언스,004720,2012-01-10,500,유상증자(제3자배정),기명식 보통,3600000,1800000000
155,한국저축은행,025610,2012-01-04,5000,유상증자(제3자배정),기명식 보통,6000000,30000000000
156,LG전자,066570,2012-01-04,51600,유상증자(주주배정후실권주일반공모),기명식 보통,19000000,980400000000
157,글로스텍,012410,2012-01-02,3685,유상증자(공모증자),기명식 보통,271360,999961600
