,회사명,기업공시코드,공시일,발행가(원),발행방법,주식종류,발행주식수,발행금액
33,컨버즈,109070,2016-08-25,1436,유상증자(제3자배정),기명식 보통,1392755,1999996180
34,미래산업,025560,2016-08-12,274,유상증자(구주주배정),기명식 보통,98000000,26852000000
35,한솔제지,213500,2016-08-12,19000,유상증자(구주주배정),기명식 보통,3600000,68400000000
36,HMM,011200,2016-08-02,9530,유상증자(공모증자),기명식 보통,151292727,1441819688310
37,동부건설,005960,2016-08-02,5000,유상증자(제3자배정),기명식 보통,22297,111485000
38,쌍용씨앤이,003410,2016-08-01,17500,유상증자(구주주배정),기명식 보통,12818433,224322577500
39,KH 필룩스,033180,2016-07-28,4380,유상증자(제3자배정),기명식 보통,228081,998994780
40,제이준코스메틱,025620,2016-07-28,1600,유상증자(제3자배정),기명식 보통,22499995,35999992000
41,HJ중공업,097230,2016-07-26,3967,유상증자(제3자배정),기명식 보통,3764043,14931958581
42,KEC,092220,2016-07-26,772,유상증자(구주주배정),기명식 보통,30000000,23160000000
43,명문제약,017180,2016-07-26,4995,유상증자(구주주배정),기명식 보통,4490000,22427550000
44,대우부품,009320,2016-07-25,1450,유상증자(제3자배정),기명식 보통,689655,999999750
45,종근당홀딩스,001630,2016-07-22,98540,유상증자(공모증자),기명식 보통,532095,52432641300
46,메타랩스,090370,2016-07-20,2795,유상증자(제3자배정),기명식 보통,615986,1721680870
47,팬오션,028670,2016-07-19,12500,유상증자(제3자배정),기명식 보통,687394,8592425000
48,아센디오,012170,2016-07-13,801,유상증자(제3자배정),기명식 보통,15000000,12015000000
49,유니켐,011330,2016-07-12,1588,유상증자(제3자배정),기명식 보통,1322474,2100088712
50,KC코트렐,119650,2016-07-05,3970,유상증자(구주주배정),기명식 보통,3000000,11910000000
51,한진칼,180640,2016-06-27,14200,유상증자(구주주배정),기명식 보통,6397202,90840268400
52,코오롱플라스틱,138490,2016-06-27,7290,유상증자(주주배정후실권주일반공모),기명식 보통,9000000,65610000000
53,GS글로벌,001250,2016-06-21,2500,유상증자(구주주배정),기명식 보통,60000000,150000000000
54,HL D&I,014790,2016-06-21,5000,유상증자(제3자배정),기명식 보통,3000000,15000000000
55,주연테크,044380,2016-06-16,770,유상증자(제3자배정),기명식 보통,14285711,10999997470
56,서원,021050,2016-06-16,1175,유상증자(구주주배정),기명식 보통,19500000,22912500000
57,센트럴인사이트,012600,2016-05-30,7230,유상증자(제3자배정),기명식 보통,829870,5999960100
58,메리츠화재,000060,2016-05-27,16000,유상증자(제3자배정),기명식 보통,4375000,70000000000
59,신성이엔지,011930,2016-05-26,1195,유상증자(주주배정후실권주일반공모),기명식 보통,25000000,29875000000
60,센트럴인사이트,012600,2016-05-24,7240,유상증자(제3자배정),기명식 보통,276240,1999977600
61,KG스틸,016380,2016-05-24,10000,유상증자(제3자배정),기명식 보통,20000000,200000000000
62,한일현대시멘트,006390,2016-05-23,23225,유상증자(제3자배정),기명식 보통,1730187,40183593075
63,다스코,058730,2016-05-13,3715,유상증자(구주주배정),기명식 보통,2580000,9584700000
64,HLB글로벌,003580,2016-05-10,5000,유상증자(제3자배정),기명식 보통,1678800,8394000000
65,신풍제약,019170,2016-05-10,5150,유상증자(제3자배정),기명식 보통,7766990,39999998500
66,흥아해운,003280,2016-05-04,1045,유상증자(공모증자),기명식 보통,18000000,18810000000
67,금호건설,002990,2016-04-22,161000,유상증자(제3자배정),기명식 보통,284070,45735270000
68,유니켐,011330,2016-04-21,1588,유상증자(제3자배정),기명식 보통,1890000,3001320000
69,팬오션,028670,2016-04-19,12500,유상증자(제3자배정),기명식 보통,883229,11040362500
70,폴루스바이오팜,007630,2016-04-14,1335,유상증자(제3자배정),기명식 보통,738000,985230000
71,유니켐,011330,2016-04-06,1588,유상증자(제3자배정),기명식 보통,629723,1000000124
72,기업은행,024110,2016-04-06,11183,유상증자(제3자배정),기명식 보통,3576857,39999991831
73,한국카본,017960,2016-03-31,7224,유상증자(제3자배정),기명식 보통,2963870,21410996880
74,케이탑리츠,145270,2016-03-29,1100,유상증자(제3자배정),기명식 보통,5700000,6270000000
75,웅진에너지,103130,2016-03-25,1515,유상증자(제3자배정),기명식 보통,27874250,42229488750
76,고려개발,004200,2016-03-18,9000,유상증자(제3자배정),기명식 보통,13335000,120015000000
77,큐로,015590,2016-03-17,768,유상증자(구주주배정),기명식 보통,16000000,12288000000
78,제이준코스메틱,025620,2016-03-07,560,유상증자(공모증자),기명식 보통,1785710,999997600
79,유니켐,011330,2016-03-03,1284,유상증자(공모증자),기명식 보통,778800,999979200
80,이아이디,093230,2016-03-03,676,유상증자(제3자배정),기명식 보통,1479289,999999364
81,넥솔론,110570,2016-03-03,1000,유상증자(제3자배정),기명식 보통,183650,183650000
82,비케이탑스,030790,2016-03-03,1064,유상증자(제3자배정),기명식 보통,98159,104441176
83,HMM,011200,2016-03-03,5000,유상증자(제3자배정),기명식 보통,6000000,30000000000
84,제이준코스메틱,025620,2016-02-25,629,유상증자(제3자배정),기명식 보통,7949130,5000002770
85,참엔지니어링,009310,2016-02-23,1287,유상증자(제3자배정),기명식 보통,8780109,11300000283
86,삼성엔지니어링,028050,2016-02-23,8110,유상증자(구주주배정),기명식 보통,156000000,1265160000000
87,한솔홀딩스,004150,2016-02-22,6984,유상증자(공모증자),기명식 보통,7115855,49697131320
88,동양,001520,2016-02-17,500,유상증자(제3자배정),기명식 보통,479637,239818500
89,웅진에너지,103130,2016-02-16,1570,유상증자(제3자배정),기명식 보통,6217330,9761208100
90,중국원양자원,900050,2016-02-15,6800,유상증자(제3자배정),기명식 보통,1500000,10200000000
91,동부건설,005960,2016-02-04,5000,유상증자(제3자배정),기명식 보통,13638,68190000
92,남광토건,001260,2016-02-04,5000,유상증자(제3자배정),기명식 보통,6400000,32000000000
93,초록뱀헬스케어,118000,2016-02-02,1855,유상증자(구주주배정),기명식 보통,6500000,12057500000
94,BNK금융지주,138930,2016-02-02,6750,유상증자(구주주배정),기명식 보통,70000000,472500000000
95,현대페인트,011720,2016-02-01,500,유상증자(제3자배정),기명식 보통,2995160,1497580000
96,성지건설,005980,2016-01-19,5000,유상증자(제3자배정),기명식 보통,1544,7720000
97,팬오션,028670,2016-01-19,12500,유상증자(제3자배정),기명식 보통,6333685,79171062500
98,유니켐,011330,2016-01-19,1588,유상증자(제3자배정),기명식 보통,629723,1000000124
99,마니커,027740,2016-01-13,1055,유상증자(제3자배정),기명식 보통,11374407,11999999385
100,삼성제약,001360,2016-01-12,9060,유상증자(제3자배정),기명식 보통,1101676,9981184560
101,대우조선해양,042660,2016-01-08,5050,유상증자(제3자배정),기명식 보통,82024610,414224280500
102,컨버즈,109070,2016-01-08,2400,유상증자(공모증자),기명식 보통,416660,999984000
103,웅진,016880,2016-01-05,500,유상증자(제3자배정),기명식 보통,7204123,3602061500
104,비케이탑스,030790,2016-01-04,903,유상증자(구주주배정),기명식 보통,21000000,18963000000
105,유니켐,011330,2016-01-04,1588,유상증자(제3자배정),기명식 보통,1574308,2500001104
106,참엔지니어링,009310,2015-12-30,1287,유상증자(제3자배정),기명식 보통,3885004,5000000148
107,범양건영,002410,2015-12-29,11150,유상증자(제3자배정),기명식 보통,1237668,13799998200
108,이월드,084680,2015-12-28,3045,유상증자(제3자배정),기명식 보통,3284073,10000002285
109,성창기업지주,000180,2015-12-24,23700,유상증자(구주주배정),기명식 보통,1200000,28440000000
110,부산주공,005030,2015-12-23,1110,유상증자(구주주배정),기명식 보통,8650744,9602325840
111,삼화전자공업,011230,2015-12-23,1460,유상증자(제3자배정),기명식 보통,1030000,1503800000
112,참엔지니어링,009310,2015-12-22,1287,유상증자(제3자배정),기명식 보통,3885004,5000000148
113,SK디스커버리,006120,2015-12-22,57600,유상증자(구주주배정),기명식 보통,3460208,199307980800
114,동양,001520,2015-12-21,500,유상증자(제3자배정),기명식 보통,17377,8688500
115,유니켐,011330,2015-12-17,1588,유상증자(제3자배정),기명식 보통,1952142,3100001496
116,체시스,033250,2015-12-11,1285,유상증자(구주주배정),기명식 보통,7409475,9521175375
117,남광토건,001260,2015-12-07,25000,유상증자(제3자배정),기명식 보통,7447,186175000
118,JB금융지주,175330,2015-11-30,6300,유상증자(제3자배정),기명식 보통,28935476,182293498800
119,중국원양자원,900050,2015-11-27,4500,유상증자(제3자배정),기명식 보통,2266667,10200001500
120,세원이앤씨,091090,2015-11-23,3010,유상증자(구주주배정),기명식 보통,12000000,36120000000
121,롯데관광개발,032350,2015-11-17,17700,유상증자(제3자배정),기명식 보통,5649717,99999990900
122,TCC스틸,002710,2015-11-16,2135,유상증자(제3자배정),기명식 보통,2342500,5001237500
123,미래에셋증권,037620,2015-11-16,21750,유상증자(구주주배정),기명식 보통,43952097,955958109750
124,한화화인케미칼,025850,2015-11-12,9600,유상증자(구주주배정),기명식 보통,3700000,35520000000
125,동양,001520,2015-11-06,500,유상증자(제3자배정),기명식 보통,657481,328740500
126,동부건설,005960,2015-11-05,5000,유상증자(제3자배정),기명식 보통,215886,1079430000
127,쌍방울,102280,2015-11-03,2695,유상증자(구주주배정),기명식 보통,37000000,99715000000
128,넥솔론,110570,2015-10-22,1000,유상증자(제3자배정),기명식 보통,3090174,3090174000
129,팬오션,028670,2015-10-21,12500,유상증자(제3자배정),기명식 보통,1505135,18814187500
130,디와이,013570,2015-10-20,5686,유상증자(공모증자),기명식 보통,5696033,32387643638
131,대한전선,001440,2015-10-20,500,유상증자(제3자배정),기명식 보통,760000000,380000000000
132,대한해운,005880,2015-10-12,100000,유상증자(제3자배정),기명식 보통,9644,964400000
133,금호건설,002990,2015-10-02,111500,유상증자(제3자배정),기명식 보통,185822,20719153000
134,갤럭시아에스엠,011420,2015-10-01,2880,유상증자(제3자배정),기명식 보통,7847220,22599993600
135,유니켐,011330,2015-09-21,1588,유상증자(제3자배정),기명식 보통,944586,1500002568
136,후성,093370,2015-09-17,2895,유상증자(구주주배정),기명식 보통,7575800,21931941000
137,삼화전자공업,011230,2015-09-16,1230,유상증자(제3자배정),기명식 보통,1626020,2000004600
138,STX,011810,2015-09-10,22500,유상증자(제3자배정),기명식 보통,34450,775125000
139,메리츠증권,008560,2015-09-02,3510,유상증자(구주주배정),기명식 보통,117994206,414159663060
140,이아이디,093230,2015-08-25,797,유상증자(제3자배정),기명식 보통,10037641,7999999877
141,한올바이오파마,009420,2015-08-17,5960,유상증자(제3자배정),기명식 보통,9500000,56620000000
142,센트럴인사이트,012600,2015-08-13,6100,유상증자(공모증자),기명식 보통,163934,999997400
143,넥솔론,110570,2015-08-11,1000,유상증자(제3자배정),기명식 보통,15841805,15841805000
144,동양,001520,2015-08-06,500,유상증자(제3자배정),기명식 보통,149935,74967500
145,쎌마테라퓨틱스,015540,2015-08-05,5340,유상증자(제3자배정),기명식 보통,749062,3999991080
146,미래아이앤지,007120,2015-08-05,1220,유상증자(제3자배정),기명식 보통,819670,999997400
147,팬오션,028670,2015-07-29,2500,유상증자(제3자배정),기명식 보통,340000000,850000000000
148,현대엘리베이터,017800,2015-07-29,55500,유상증자(구주주배정),기명식 보통,5000000,277500000000
149,팬오션,028670,2015-07-28,12500,유상증자(제3자배정),기명식 보통,518789,6484862500
150,비케이탑스,030790,2015-07-28,1064,유상증자(제3자배정),기명식 보통,321745,342336680
151,보루네오가구,004740,2015-07-28,732,유상증자(구주주배정),기명식 보통,16500000,12078000000
152,남광토건,001260,2015-07-21,25000,유상증자(제3자배정),기명식 보통,252441,6311025000
153,대한전선,001440,2015-07-17,2500,유상증자(제3자배정),기명식 보통,2061894,5154735000
154,인스코비,006490,2015-07-16,1705,유상증자(제3자배정),기명식 보통,847506,1444997730
155,범양건영,002410,2015-07-06,9260,유상증자(구주주배정),기명식 보통,851064,7880852640
156,오리엔트바이오,002630,2015-07-02,500,유상증자(구주주배정),기명식 보통,55000000,27500000000
157,대한해운,005880,2015-06-29,100000,유상증자(제3자배정),기명식 보통,752,75200000
158,이코리아리츠,138440,2015-06-29,5000,유상증자(제3자배정),기명식 보통,200000,1000000000
159,유니켐,011330,2015-06-25,706,유상증자(제3자배정),기명식 보통,1345610,950000660
160,YG PLUS,037270,2015-06-25,4005,유상증자(제3자배정),기명식 보통,583272,2336004360
161,롯데손해보험,000400,2015-06-22,2250,유상증자(구주주배정),기명식 보통,67000000,150750000000
162,이아이디,093230,2015-06-16,647,유상증자(제3자배정),기명식 보통,3091190,1999999930
163,유니켐,011330,2015-06-15,588,유상증자(제3자배정),기명식 보통,17853524,10497872112
164,모나미,005360,2015-06-12,2445,유상증자(구주주배정),기명식 보통,5000000,12225000000
165,백광산업,001340,2015-06-12,1410,유상증자(구주주배정),기명식 보통,13707166,19327104060
166,쎌마테라퓨틱스,015540,2015-05-27,2260,유상증자(제3자배정),기명식 보통,2654857,5999976820
167,종근당홀딩스,001630,2015-05-26,76101,유상증자(공모증자),기명식 보통,836816,63682534416
168,동양,001520,2015-05-26,500,유상증자(제3자배정),기명식 보통,19443,9721500
169,유니켐,011330,2015-05-22,522,유상증자(제3자배정),기명식 보통,16979686,8863396092
170,인스코비,006490,2015-05-13,1610,유상증자(제3자배정),기명식 보통,621115,999995150
171,넥솔론,110570,2015-05-07,1000,유상증자(제3자배정),기명식 보통,676610,676610000
172,컨버즈,109070,2015-05-07,1135,유상증자(제3자배정),기명식 보통,2643170,2999997950
173,쎌마테라퓨틱스,015540,2015-04-30,3485,유상증자(제3자배정),기명식 보통,286940,999985900
174,하나금융지주,086790,2015-04-30,29466,유상증자(제3자배정),기명식 보통,6109000,180007794000
175,한창제지,009460,2015-04-29,627,유상증자(제3자배정),기명식 보통,7974482,5000000214
176,팬오션,028670,2015-04-24,10000,유상증자(제3자배정),기명식 보통,757844,7578440000
177,인바이오젠,101140,2015-04-23,1551,유상증자(제3자배정),기명식 보통,1934231,2999992281
178,이아이디,093230,2015-04-21,682,유상증자(제3자배정),기명식 보통,2932000,1999624000
179,금호건설,002990,2015-04-21,161000,유상증자(제3자배정),기명식 보통,603416,97149976000
180,컨버즈,109070,2015-04-08,1110,유상증자(제3자배정),기명식 보통,1801800,1999998000
181,형지엘리트,093240,2015-04-03,2191,유상증자(제3자배정),기명식 보통,2282062,4999997842
182,세하,027970,2015-04-02,2055,유상증자(제3자배정),기명식 보통,7299270,14999999850
183,엔에이치엔,181710,2015-04-02,62100,유상증자(구주주배정),기명식 보통,4400000,273240000000
184,인바이오젠,101140,2015-03-31,1600,유상증자(제3자배정),기명식 보통,2687500,4300000000
185,YG PLUS,037270,2015-03-30,3920,유상증자(제3자배정),기명식 보통,765306,2999999520
186,대한항공,003490,2015-03-27,35200,유상증자(구주주배정),기명식 보통,14164306,498583571200
187,HMM,011200,2015-03-20,6780,유상증자(구주주배정),기명식 보통,35000000,237300000000
188,삼성제약,001360,2015-03-06,3257,유상증자(제3자배정),기명식 보통,921093,2999999901
189,인바이오젠,101140,2015-03-03,1369,유상증자(제3자배정),기명식 보통,730460,999999740
190,보루네오가구,004740,2015-02-27,1005,유상증자(공모증자),기명식 보통,942452,947164260
191,대성산업,128820,2015-02-27,5910,유상증자(구주주배정),기명식 보통,20000000,118200000000
192,유니켐,011330,2015-02-26,533,유상증자(공모증자),기명식 보통,1876100,999961300
193,티이씨코,008900,2015-02-16,879,유상증자(주주배정후실권주일반공모),기명식 보통,11000000,9669000000
194,동양,001520,2015-02-13,500,유상증자(제3자배정),기명식 보통,1767992,883996000
195,쎌마테라퓨틱스,015540,2015-02-12,1805,유상증자(제3자배정),기명식 보통,4493612,8110969660
196,동양,001520,2015-02-11,500,유상증자(제3자배정),기명식 보통,63814,31907000
197,제이준코스메틱,025620,2015-02-10,1680,유상증자(공모증자),기명식 보통,595238,999999840
198,기업은행,024110,2015-02-06,12560,유상증자(제3자배정),기명식 보통,3184713,39999995280
199,팬오션,028670,2015-02-03,10000,유상증자(제3자배정),기명식 보통,13264541,132645410000
200,신성이엔지,011930,2015-02-03,1045,유상증자(제3자배정),기명식 보통,2075406,2168799270
201,중국원양자원,900050,2015-01-30,2200,유상증자(제3자배정),기명식 보통,10963167,24118967400
202,범양건영,002410,2015-01-30,5000,유상증자(제3자배정),기명식 보통,323,1615000
203,유니켐,011330,2015-01-29,533,유상증자(제3자배정),기명식 보통,3389494,1806600302
204,진흥기업,002780,2015-01-27,2000,유상증자(제3자배정),기명식 보통,29064000,58128000000
205,DGB금융지주,139130,2015-01-26,9010,유상증자(구주주배정),기명식 보통,35000000,315350000000
206,이코리아리츠,138440,2015-01-23,5000,유상증자(제3자배정),기명식 보통,200000,1000000000
207,플레이그램,009810,2015-01-21,880,유상증자(제3자배정),기명식 보통,4022723,3539996240
208,현대페인트,011720,2015-01-20,3195,유상증자(제3자배정),기명식 보통,1878000,6000210000
209,진흥기업,002780,2015-01-19,2000,유상증자(제3자배정),기명식 보통,30000000,60000000000
210,현대페인트,011720,2015-01-16,2430,유상증자(공모증자),기명식 보통,411520,999993600
211,컨버즈,109070,2015-01-16,500,유상증자(구주주배정),기명식 보통,13034825,6517412500
212,씨아이테크,004920,2015-01-12,608,유상증자(제3자배정),기명식 보통,2633000,1600864000
213,포스코플랜텍,051310,2015-01-06,2910,유상증자(제3자배정),기명식 보통,99656350,289999978500
214,신성이엔지,011930,2015-01-06,903,유상증자(제3자배정),기명식 보통,15503875,13999999125
215,기업은행,024110,2015-01-05,13958,유상증자(제3자배정),기명식 보통,702106,9799995548
216,웅진,016880,2015-01-02,500,유상증자(제3자배정),기명식 보통,22782,11391000
217,서연,007860,2014-12-29,16225,유상증자(공모증자),기명식 보통,10097588,163833365300
218,금호건설,002990,2014-12-29,161000,유상증자(제3자배정),기명식 보통,1083814,174494054000
219,제이준코스메틱,025620,2014-12-26,500,유상증자(제3자배정),기명식 보통,58000000,29000000000
220,성지건설,005980,2014-12-24,5000,유상증자(제3자배정),기명식 보통,5294,26470000
221,알보젠코리아,002250,2014-12-23,13850,유상증자(구주주배정),기명식 보통,6967936,96505913600
222,HL홀딩스,060980,2014-12-23,77699,유상증자(공모증자),기명식 보통,2194627,170520323273
223,이월드,084680,2014-12-22,1970,유상증자(제3자배정),기명식 보통,2538072,5000001840
224,플레이그램,009810,2014-12-19,673,유상증자(제3자배정),기명식 보통,1485881,999997913
225,미래아이앤지,007120,2014-12-16,1110,유상증자(제3자배정),기명식 보통,25619495,28437639450
226,YG PLUS,037270,2014-12-15,4560,유상증자(제3자배정),기명식 보통,16206138,73899989280
227,세하,027970,2014-11-26,1000,유상증자(제3자배정),기명식 보통,20000000,20000000000
228,신일전자,002700,2014-11-25,1105,유상증자(구주주배정),기명식 보통,15000000,16575000000
229,아세아,002030,2014-11-24,149744,유상증자(공모증자),기명식 보통,747904,111994136576
230,동양,001520,2014-11-19,500,유상증자(제3자배정),기명식 보통,1047042,523521000
231,인바이오젠,101140,2014-11-17,1000,유상증자(제3자배정),기명식 보통,400000,400000000
232,한진칼,180640,2014-11-17,23859,유상증자(공모증자),기명식 보통,24129365,575702519535
233,이아이디,093230,2014-11-17,1320,유상증자(공모증자),기명식 보통,756818,998999760
234,웅진에너지,103130,2014-11-14,2065,유상증자(제3자배정),기명식 보통,1277845,2638749925
235,미래산업,025560,2014-11-14,110,유상증자(주주배정후실권주일반공모),기명식 보통,90000000,9900000000
236,한솔테크닉스,004710,2014-11-12,9760,유상증자(주주배정후실권주일반공모),기명식 보통,4858767,47421565920
237,웅진씽크빅,095720,2014-11-11,5820,유상증자(구주주배정),기명식 보통,5688205,33105353100
238,동아쏘시오홀딩스,000640,2014-11-07,140029,유상증자(공모증자),기명식 보통,141952,19877396608
239,미래아이앤지,007120,2014-11-06,1217,유상증자(제3자배정),기명식 보통,1807717,2199991589
240,유니켐,011330,2014-11-05,754,유상증자(제3자배정),기명식 보통,2268116,1710159464
241,동양,001520,2014-11-04,500,유상증자(제3자배정),기명식 보통,42704,21352000
242,씨아이테크,004920,2014-11-04,709,유상증자(공모증자),기명식 보통,1410000,999690000
243,팬오션,028670,2014-11-03,10000,유상증자(제3자배정),기명식 보통,51124464,511244640000
244,남광토건,001260,2014-11-03,5000,유상증자(제3자배정),기명식 보통,239217,1196085000
245,비케이탑스,030790,2014-10-29,1064,유상증자(제3자배정),기명식 보통,351703,374211992
246,메리츠화재,000060,2014-10-24,13050,유상증자(제3자배정),기명식 보통,4634200,60476310000
247,진원생명과학,011000,2014-10-23,777,유상증자(구주주배정),기명식 보통,20000000,15540000000
248,컨버즈,109070,2014-10-22,775,유상증자(제3자배정),기명식 보통,6451612,4999999300
249,초록뱀헬스케어,118000,2014-10-22,2040,유상증자(공모증자),기명식 보통,490100,999804000
250,유니켐,011330,2014-10-17,621,유상증자(제3자배정),기명식 보통,5313195,3299494095
251,메리츠금융지주,138040,2014-10-07,5910,유상증자(구주주배정),기명식 보통,28142590,166322706900
252,유진증권,001200,2014-10-06,1800,유상증자(구주주배정),기명식 보통,38889000,70000200000
253,JB금융지주,175330,2014-09-23,6290,유상증자(구주주배정),기명식 보통,27000000,169830000000
254,유니켐,011330,2014-09-02,506,유상증자(제3자배정),기명식 보통,9881423,5000000038
255,AK홀딩스,006840,2014-08-28,46700,유상증자(구주주배정),기명식 보통,1600000,74720000000
256,HJ중공업,097230,2014-08-26,5800,유상증자(구주주배정),기명식 보통,33000000,191400000000
257,형지엘리트,093240,2014-08-26,2718,유상증자(제3자배정),기명식 보통,1545253,4199997654
258,범양건영,002410,2014-08-26,5000,유상증자(제3자배정),기명식 보통,41420,207100000
259,코스맥스비티아이,044820,2014-08-22,41654,유상증자(공모증자),기명식 보통,5010716,208716364264
260,이엔플러스,074610,2014-08-21,595,유상증자(공모증자),기명식 보통,1680670,999998650
261,엔케이,085310,2014-08-20,2160,유상증자(구주주배정),기명식 보통,9650000,20844000000
262,유니켐,011330,2014-08-12,500,유상증자(제3자배정),기명식 보통,4500000,2250000000
263,아센디오,012170,2014-08-11,500,유상증자(공모증자),기명식 보통,1600000,800000000
264,팬오션,028670,2014-07-25,10000,유상증자(제3자배정),기명식 보통,14142399,141423990000
265,국동,005320,2014-07-23,7700,유상증자(공모증자),기명식 보통,129870,999999000
266,BNK금융지주,138930,2014-07-22,12550,유상증자(구주주배정),기명식 보통,41000000,514550000000
267,동국제강,001230,2014-07-10,5550,유상증자(구주주배정),기명식 보통,27000000,149850000000
268,유니켐,011330,2014-07-09,574,유상증자(제3자배정),기명식 보통,1968639,1129998786
269,써니전자,004770,2014-07-03,1680,유상증자(주주배정후실권주일반공모),기명식 보통,7000000,11760000000
270,한솔아트원제지,007190,2014-06-27,1675,유상증자(제3자배정),기명식 보통,17253732,28900001100
271,한일현대시멘트,006390,2014-06-26,20000,유상증자(제3자배정),기명식 보통,7741950,154839000000
272,유니켐,011330,2014-06-24,730,유상증자(제3자배정),기명식 보통,3356163,2449998990
273,한진해운,117930,2014-06-24,5400,유상증자(제3자배정),기명식 보통,74074074,399999999600
274,유안타증권,003470,2014-06-24,2100,유상증자(제3자배정),기명식 보통,71428571,149999999100
275,우리종금,010050,2014-06-23,500,유상증자(주주우선공모),기명식 보통,139687391,69843695500
276,GS건설,006360,2014-06-20,27600,유상증자(구주주배정),기명식 보통,20000000,552000000000
277,삼성제약,001360,2014-06-09,3114,유상증자(제3자배정),기명식 보통,5202304,16199974656
278,대한해운,005880,2014-05-26,100000,유상증자(제3자배정),기명식 보통,460596,46059600000
279,미래아이앤지,007120,2014-05-19,2055,유상증자(공모증자),기명식 보통,486618,999999990
280,동부건설,005960,2014-05-13,2415,유상증자(공모증자),기명식 보통,14683760,35461280400
281,KG스틸,016380,2014-05-09,2955,유상증자(공모증자),기명식 보통,10000000,29550000000
282,인스코비,006490,2014-05-08,1795,유상증자(제3자배정),기명식 보통,1331340,2389755300
283,한독,002390,2014-05-07,16400,유상증자(구주주배정),기명식 보통,994080,16302912000
284,보해양조,000890,2014-05-02,601,유상증자(구주주배정),기명식 보통,25300000,15205300000
285,금호타이어,073240,2014-05-02,13000,유상증자(제3자배정),기명식 보통,99360,1291680000
286,한화솔루션,009830,2014-04-30,16282,유상증자(DR),기명식 보통,21656060,352603968920
287,팬오션,028670,2014-04-29,10000,유상증자(제3자배정),기명식 보통,28384096,283840960000
288,웅진에너지,103130,2014-04-29,2175,유상증자(제3자배정),기명식 보통,5977011,12999998925
289,인스코비,006490,2014-04-25,1950,유상증자(제3자배정),기명식 보통,512270,998926500
290,범양건영,002410,2014-04-24,5000,유상증자(제3자배정),기명식 보통,219,1095000
291,남광토건,001260,2014-04-10,5000,유상증자(제3자배정),기명식 보통,309339,1546695000
