,회사명,기업공시코드,공시일,발행가(원),발행방법,주식종류,발행주식수,발행금액
158,동부건설,005960,2021-02-02,5000,유상증자(제3자배정),기명식 보통,4383,21915000
159,티와이홀딩스,363280,2021-02-02,25592,유상증자(공모증자),기명식 보통,2670713,68348887096
160,포스코케미칼,003670,2021-01-29,77300,유상증자(구주주배정),기명식 보통,16475000,1273517500000
161,체시스,033250,2021-01-28,1580,유상증자(구주주배정),기명식 보통,8000000,12640000000
162,쎌마테라퓨틱스,015540,2021-01-19,6810,유상증자(제3자배정),기명식 보통,298658,2033860980
163,비케이탑스,030790,2021-01-14,14385,유상증자(제3자배정),기명식 보통,56308,809990580
164,아센디오,012170,2021-01-14,500,유상증자(제3자배정),기명식 보통,25011036,12505518000
165,쎌마테라퓨틱스,015540,2021-01-13,5940,유상증자(제3자배정),기명식 보통,505050,2999997000
166,미래산업,025560,2021-01-11,2780,유상증자(제3자배정),기명식 보통,1798561,4999999580
167,플레이그램,009810,2021-01-07,458,유상증자(구주주배정),기명식 보통,37650000,17243700000
168,쎌마테라퓨틱스,015540,2021-01-07,5380,유상증자(제3자배정),기명식 보통,119108,640801040
169,맥쿼리인프라,088980,2020-12-28,10550,유상증자(주주배정후실권주일반공모),기명식 보통,23148149,244212971950
170,에어부산,298690,2020-12-24,2785,유상증자(구주주배정),기명식 보통,30000000,83550000000
171,부산주공,005030,2020-12-24,682,유상증자(공모증자),기명식 보통,12000000,8184000000
172,두산퓨얼셀,336260,2020-12-23,33600,유상증자(구주주배정),기명식 보통,10000000,336000000000
173,남광토건,001260,2020-12-23,22500,유상증자(제3자배정),기명식 보통,290,6525000
174,드림텍,192650,2020-12-22,9100,유상증자(구주주배정),기명식 보통,3725700,33903870000
175,에이엔피,015260,2020-12-21,1120,유상증자(구주주배정),기명식 보통,10000000,11200000000
176,한진칼,180640,2020-12-21,70800,유상증자(제3자배정),기명식 보통,7062146,499999936800
177,두산에너빌리티,034020,2020-12-21,9980,유상증자(구주주배정),기명식 보통,121495330,1212523393400
178,케이씨텍,281820,2020-11-27,20270,유상증자(제3자배정),기명식 보통,1022216,20720318320
179,메리츠화재,000060,2020-11-26,14400,유상증자(제3자배정),기명식 보통,6945000,100008000000
180,티웨이항공,091810,2020-11-24,1485,유상증자(구주주배정),기명식 보통,45000000,66825000000
181,컨버즈,109070,2020-11-24,644,유상증자(제3자배정),기명식 보통,3105583,1999995452
182,다이나믹디자인,145210,2020-11-23,563,유상증자(구주주배정),기명식 보통,70000000,39410000000
183,한진,002320,2020-11-13,36450,유상증자(구주주배정),기명식 보통,2972972,108364829400
184,우리종금,010050,2020-11-12,500,유상증자(구주주배정),기명식 보통,200000000,100000000000
185,진에어,272450,2020-11-11,7000,유상증자(구주주배정),기명식 보통,15000000,105000000000
