,기업공시코드,시장
518,A017650,K
519,A017670,Y
520,A017800,Y
521,A017810,Y
522,A017890,K
523,A017900,Y
524,A017940,Y
525,A017960,Y
526,A018000,K
527,A018120,K
528,A018250,Y
529,A018260,Y
530,A018290,K
531,A018310,K
532,A018470,Y
533,A018500,Y
534,A018620,K
535,A018670,Y
536,A018680,K
537,A018700,K
538,A018880,Y
539,A019010,K
540,A019170,Y
541,A019180,Y
542,A019210,K
543,A019440,Y
544,A019490,Y
545,A019540,K
546,A019550,K
547,A019570,K
548,A019590,K
549,A019660,K
550,A019680,Y
551,A019770,K
552,A019990,K
553,A020000,Y
554,A020120,Y
555,A020150,Y
556,A020180,K
557,A020400,K
558,A020560,Y
559,A020710,K
560,A020760,Y
561,A021040,K
562,A021050,Y
563,A021080,K
564,A021240,Y
565,A021320,K
566,A021650,K
567,A021820,Y
568,A021880,K
569,A022100,K
570,A022220,K
571,A023000,Y
572,A023150,Y
573,A023160,K
574,A023350,Y
575,A023410,K
576,A023440,K
577,A023450,Y
578,A023460,K
579,A023530,Y
580,A023590,Y
581,A023600,K
582,A023760,K
583,A023770,K
584,A023790,K
585,A023800,Y
586,A023810,Y
587,A023900,K
588,A023910,K
589,A023960,Y
590,A024060,K
591,A024070,Y
592,A024090,Y
593,A024110,Y
594,A024120,K
595,A024720,Y
596,A024740,K
597,A024800,K
598,A024810,K
599,A024830,K
600,A024840,K
601,A024850,K
602,A024880,K
603,A024890,Y
604,A024900,Y
605,A024910,K
606,A024940,K
607,A024950,K
608,A025000,Y
609,A025320,K
610,A025440,K
611,A025530,Y
612,A025540,Y
613,A025550,K
614,A025560,Y
615,A025620,Y
616,A025750,Y
617,A025770,K
618,A025820,Y
619,A025860,Y
620,A025870,K
621,A025880,K
622,A025890,Y
623,A025900,K
624,A025950,K
625,A025980,K
626,A026040,K
627,A026150,K
628,A026890,Y
629,A026910,K
630,A026940,Y
631,A026960,Y
632,A027040,K
633,A027050,K
634,A027360,K
635,A027410,Y
636,A027580,K
637,A027710,K
638,A027740,Y
639,A027830,K
640,A027970,Y
641,A028050,Y
642,A028080,K
643,A028100,Y
644,A028260,Y
645,A028300,K
646,A028670,Y
647,A029460,Y
648,A029480,K
649,A029530,Y
650,A029780,Y
651,A029960,K
652,A030000,Y
653,A030190,K
654,A030200,Y
655,A030210,Y
656,A030350,K
657,A030520,K
658,A030530,K
659,A030610,Y
660,A030720,Y
661,A030790,Y
662,A030960,K
663,A031310,K
664,A031330,K
665,A031430,Y
666,A031440,Y
667,A031510,K
668,A031820,Y
669,A031860,K
670,A031980,K
671,A032080,K
672,A032190,K
673,A032280,K
674,A032300,K
675,A032350,Y
676,A032500,K
677,A032540,K
678,A032560,Y
679,A032580,K
680,A032620,K
681,A032640,Y
682,A032680,K
683,A032750,K
684,A032790,K
685,A032800,K
686,A032820,K
687,A032830,Y
688,A032850,K
689,A032860,K
690,A032940,K
691,A032960,K
692,A032980,K
693,A033050,K
694,A033100,K
695,A033130,K
696,A033160,K
697,A033170,K
698,A033180,Y
699,A033200,K
700,A033230,K
701,A033240,Y
702,A033250,Y
703,A033270,Y
704,A033290,K
705,A033310,K
706,A033320,K
707,A033340,K
708,A033500,K
709,A033530,Y
710,A033540,K
711,A033560,K
712,A033640,K
713,A033780,Y
714,A033790,K
