,당기순이익/총자본,영업이익/총자본,판매 및 관리비/총자본,총자본,영업현금흐름/총자본,최대주주비율,차입금의존도,매출총이익/총자본,매출채권/총자본,BW금액+CB금액+유상증자금액/총자본,경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,결산기간_주가변동률,결산기간_거래량증가,최대주주변경카운트,최대주주비율_변동성,타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액/총자본,상호변경카운트+업종변경카운트,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액/총자본
2014-07,0.21309680979129847,0.19993150892964956,0.09886647067414349,0.0915293138976968,0.09106237843059875,0.07158182475410686,0.06488706096487132,0.0696420105257718,0.03911620691195465,0.022241170269670672,0.01740444103890668,0.006632404924729926,0.003525653377027743,0.00282505259521317,0.0029626971902932584,0.0019386880678547254,0.0016879471988307927,0.0010683604573812552
2014-10,0.2093266581964068,0.208852842587023,0.08689952505477301,0.08925979322876815,0.0922111588238538,0.06940158920562922,0.061058628232990714,0.07335403547308861,0.034923110709610156,0.026233844989863857,0.022544489257406243,0.005608862390903333,0.0029575621735747947,0.00351777745086062,0.007710136113194699,0.0023559031195981646,0.0016787995407375636,0.0021052834517174507
2015-01,0.19311653488639988,0.2074728605739111,0.08700124243011471,0.11287616354189123,0.07469188877751264,0.0736577460297218,0.05325921138234468,0.07477949747828934,0.025961127021516425,0.03371036306171332,0.025315155638766424,0.013585802390201627,0.0008151653913092165,0.005485031933465165,0.012226255069289996,0.001495195115550495,0.0021042983976157807,0.0024464608803862905
2015-04,0.17299640540961952,0.1878415975077543,0.0943545231032436,0.11101245416859878,0.0931788143582438,0.07919967042766897,0.05255898316532873,0.06960693547933298,0.03055760572401232,0.04689543155154478,0.028359982100161312,0.013199823003824818,0.0008239146671302434,0.006649898366305203,0.006117892853082005,0.0017526033807605266,0.0016087944568676307,0.00328467027652033
2015-07,0.1766383830438955,0.1906569833194881,0.07860862813800044,0.12117727224157249,0.08849086329053413,0.08262771867678399,0.05167551230852635,0.07425288554336695,0.024263119688751975,0.043795514240406105,0.02049771575365443,0.012883833614037152,0.0019204739693710164,0.006392022078229197,0.016972217551998296,0.0023596133236408806,0.002212164466047486,0.004575078751695483
2015-10,0.184123640896268,0.17944749044307418,0.07870584803910786,0.1211876697189093,0.0782094590620002,0.0817060370468264,0.04851758687409409,0.07377887796210214,0.026515148104792323,0.04645809340124916,0.025157992606149322,0.013710459310143319,0.002975771754635111,0.0070769556361852505,0.02297007205716941,0.003276246690400001,0.002041265968864038,0.004141384428029923
2016-01,0.1754805965695499,0.1603638339250206,0.08369767195927114,0.12393757936436245,0.0894570520759114,0.08555091944072307,0.05294385809690378,0.06315554087875404,0.03288434203486514,0.056656559602670506,0.017548237394490344,0.01650810879989908,0.0022520945962240238,0.008688899888524199,0.020114534474985856,0.004987670234010903,0.0015912618984738594,0.004181238765359779
2016-04,0.10205838758470964,0.147958379595091,0.13998413161207296,0.05110694320217838,0.0926602079694211,0.021272907520354992,0.018132847233924526,0.2975332938302202,0.08169612495918838,0.009016120665251107,0.00876881963451087,0.013287557920216804,0.005065898491213632,0.0020612782308230683,0.006681091147747098,0.000353486496657329,0.001520318933860159,0.0008422049725587503
2016-07,0.10590004527599554,0.1536663771315192,0.1324846770828667,0.05482324503574066,0.08250466086939603,0.025952596559851205,0.020411895688334653,0.29338881422137947,0.09021807751423956,0.009662706383339072,0.007273758425754063,0.010809300093001713,0.003907355280419935,0.0017321715717968245,0.005131836732128621,0.00031784939755372213,0.0010174958527311235,0.0007971368839518473
2016-10,0.19696342464727754,0.16957346563529838,0.08712315862834388,0.12407799749443045,0.10327370526424144,0.08847455486598478,0.03524662137146425,0.05981798770943154,0.01954876903215974,0.045173832656137926,0.01739180575409047,0.020747917134957477,0.0022317290663768363,0.008501624052672541,0.01167516577791684,0.004700561162289083,0.00040107101037260747,0.005076608736554234
