,매출채권,판매 및 관리비,결산기간_주가변동률,영업현금흐름,차입금의존도,최대주주비율,결산기간_거래량증가,BW금액,조회공시요구카운트,최대주주비율_변동성,타법인주식및출자증권취득결정금액,최대주주변경카운트,최대주주변경을수반하는주식양수도금액,불성실공시법인지정카운트,유상증자금액,CB금액,특수관계인에대한자금대여금액,상호변경카운트,업종변경카운트,경영권분쟁소송,최대주주변경을수반하는주식담보제공금액
2015-01,0.14745280095309152,0.1390573906975748,0.06769295969913247,0.09375525096514863,0.044715076840749525,0.0572264634535013,0.31451656864526994,0.00018609289374738492,0.0199821236156178,0.0763076820654785,0.004147877388997846,0.0067820455405404115,0.002983842077400146,0.0020758289471912795,0.0002104040590068909,0.021433949503487225,5.4450253841249184e-05,0.0008452089336088474,0.00034236480314716504,0.00013883543930243654,9.278322416456103e-05
2015-04,0.2881590271865738,0.2491122716736099,0.10518332764987992,0.11382620278284389,0.04972679323853114,0.036764578334547646,0.10380058618203188,2.5146962803823816e-05,0.007131932136415267,0.016712288368182834,0.0007338061427662102,0.01019133085627071,0.0036136421921694477,0.0010082286243759096,0.0005138167200635758,0.010822607997301299,7.189119902088952e-05,0.001663516067841032,0.0005316269294651337,0.00022202569509435774,0.00018535306021148063
2015-07,0.27951518299923406,0.262871748626338,0.16530272181254488,0.12882228229656034,0.028175028106762288,0.02245759775747093,0.06998616212907834,7.352514241653845e-05,0.003250308837074257,0.01452070902083241,0.0009093864080797128,0.006304797461171022,0.0030621302929135286,0.000983842453660188,0.0015497901129864565,0.010024828857217161,8.565090728175047e-05,0.0012975822031596946,0.0002560236303283766,3.847082463635718e-06,0.0005468538624266002
2015-10,0.27932300893773276,0.24508835502394422,0.1590945624060806,0.12495007719673422,0.06259889790439782,0.017763966736469645,0.05711962628528791,8.215565009530677e-05,0.004290097061244156,0.026197715341803634,0.00046857666332077765,0.005686429491092757,0.002640798187872012,0.000525545328044729,0.0017488691218187939,0.009492770299114904,6.53817780869848e-05,0.0016420238427893535,0.0001202488299883067,4.185112016594095e-05,0.0010590427939150338
2016-01,0.14961965077605138,0.16240887565307527,0.053366205218258266,0.0883957370973565,0.005726533544269867,0.019861670056607193,0.45111676043672433,3.754371392094679e-05,0.016608214277506278,0.01920904642750426,9.835631832813657e-05,0.009544223250090782,0.0017596261131877324,0.0011494236561375541,0.00028005154490879275,0.0184984409597518,7.263689790414915e-05,0.0014994466797993732,3.0435311145785714e-05,0.0003588848302228202,0.00035823723724879143
2016-04,0.14748534293443094,0.1572381742866905,0.05499946837753397,0.0917698060257269,0.0009213302984009407,0.015529875376427457,0.491675316355222,5.1916121263361415e-05,0.009590598246233685,0.010126552340704323,0.00047005074733202175,0.00624511060816289,0.001064868790913138,0.001139194674888947,9.309443051422388e-05,0.00920382744903656,6.890129547139435e-05,0.0011808080522342627,0.00011996115722032229,0.0002713477573003236,0.0007544546742917968
2016-07,0.15055649483228856,0.15332028789823876,0.05743462305241937,0.10033392464256599,0.008143833942391486,0.04230761406166328,0.3989386239461503,3.152966339028295e-05,0.014258964698445044,0.039011509191437255,0.0005846714066457963,0.007195821507456341,0.0016578013480253269,0.0020632039178685164,0.00031115594643480956,0.020713381163859,6.0875971946341786e-05,0.0012607735531623703,0.0002955635093557673,0.00039406021946642876,0.001125285526789001
2016-10,0.1409504012779517,0.14670169586482718,0.05457173805188466,0.1029139604099552,0.041368674194711304,0.08081548363491331,0.33828424659180517,3.5613733764543035e-05,0.011780182208654373,0.03617512378929043,0.0022182488936491524,0.007889492483605024,0.0011007207955915552,0.0019273153948753188,0.00016727297634950064,0.03037048469161737,7.051253053816557e-05,0.0003039450486281334,0.0004672012399168492,0.0005940924492936976,0.0012935937381773803
2017-01,0.11666460592128695,0.10894134588815026,0.04879863787020894,0.13405945501288902,0.14114386609475432,0.2924936958234589,0.000905723867464898,0.0006950076240433582,0.015514614732293226,0.04056896563362195,0.006529468204773654,0.013197622053792359,0.0022135286748574423,0.0035862279394795788,0.0014413069118906687,0.06744007048177551,6.737805169560742e-05,0.0007620220678695204,0.00024254454870974358,0.0011715639298371491,0.003562348667146778
2017-04,0.326301319967046,0.2766779924478199,0.14001409524192482,0.12190876966357614,0.058231631759677285,0.042305633628624655,0.0037669090530821287,5.4608892429569266e-05,0.005236240659480046,0.0027303400366802547,0.0007107796831017165,0.00590143914995041,0.0017531331066199228,0.0010075382127915284,7.752236861236902e-05,0.010704442935958049,8.538175253875783e-05,0.00034112787909428894,0.0005370740333240729,0.0005806987827903302,0.0010733207448776528
