,BW금액/총자본,CB금액/총자본,유상증자금액/총자본,최대주주변경을수반하는주식담보제공금액/총자본,최대주주변경을수반하는주식양수도금액/총자본,타법인주식및출자증권취득결정금액/총자본,특수관계인에대한자금대여금액/총자본,당기순이익/총자본,매출채권/총자본,매출총이익/총자본,영업이익/총자본,영업현금흐름/총자본,판매 및 관리비/총자본,경영권분쟁소송,불성실공시법인지정카운트,상호변경카운트,업종변경카운트,조회공시요구카운트,최대주주변경카운트,결산기간_거래량증가,결산기간_주가변동률,차입금의존도,총자본,최대주주비율,최대주주비율_변동성
2014-10,7.21339427068508,107.03097108255352,61.933813326584065,1.5584485766984613,56.3040315716601,71.94319305321724,1.5192150201154549e-06,-0.345990648685143,0.6298089640558486,0.024253598660746906,-0.05764577889527421,-0.042835162075430575,0.08189938192526754,0.07709251101321586,0.09911894273127753,0.08590308370044053,0.05726872246696035,0.579295154185022,0.2290748898678414,inf,1.6094936214357471,33.17335535976505,141389351.71164647,29.73691222585445,inf
2015-01,4.9050186800577285,132.20689149727528,231.5389344937952,5.9933603803669255,74.53147436349845,63.866337319706226,1.629868505810292e-06,-0.5733944728920135,1.16210803640598,0.008084913937176795,-0.7997142846543281,-0.7356952905752109,0.807799220468291,0.07709251101321586,0.10792951541850221,0.10352422907488987,0.05506607929515418,0.5330396475770925,0.2599118942731278,inf,1.3090113598711872,31.694636563876653,121179034.19164647,29.59523934737814,inf
2015-04,9.621360109727728,169.64995438897,128.90251640806568,15.370811256559385,89.01455508833617,64.92782118556205,5.647372652778758e-08,-0.09616468485244876,0.5699167348925485,0.06334736350567381,-0.040813304578441234,-0.027154126804202545,0.10416066834736765,0.1076923076923077,0.11648351648351649,0.09010989010989011,0.05714285714285714,0.5692307692307692,0.2945054945054945,inf,1.272641909078522,31.326893772893776,162284231.21715203,29.005813922944522,inf
2015-07,12.014832379422408,181.87848120083436,67.34506255069863,35.99735498495611,97.42492663524182,66.33358542800467,4.4497034121370796e-07,-0.09813149327784408,0.4128552296801018,0.03611738940427637,-0.049851261353643254,-0.03233710302749633,0.08604847776182525,0.12080536912751678,0.12304250559284116,0.10961968680089486,0.03355704697986577,0.5391498881431768,0.3042505592841163,inf,1.236784026239021,31.120779269202092,108596502.9495712,28.40318587779964,inf
2015-10,15.13093311954796,387.2875237211055,79.94382468471342,89.93566511936805,117.86473789358602,150.37230807901818,3.8762536651465675e-07,-0.1310467736752701,0.5123262059418713,0.029681040381262697,-0.07959391567984374,0.0010645259018252405,0.10934537480422793,0.1323529411764706,0.11974789915966387,0.10714285714285714,0.029411764705882353,0.5546218487394958,0.32142857142857145,inf,1.0452614565394878,29.34887605042017,71100099.38816701,28.238518750424735,inf
2016-01,15.0274362668436,264.28714650085476,57.542678119033106,49.27287483167178,67.79314780458046,69.22133396197522,0.0,-0.0738551919579008,0.43302871958625966,0.06519122509258421,-0.0346710103954605,-0.023371198903412486,0.09992956489236197,0.16170212765957448,0.13404255319148936,0.10212765957446808,0.02553191489361702,0.551063829787234,0.33191489361702126,inf,0.9794871183635644,29.974420212765956,63063836.56072872,27.56001583290088,inf
2016-04,16.760443587441745,249.61785740815574,35.70257858676806,52.508105359417016,70.49036199371089,66.88324750236715,0.0,-0.07219217102808823,0.3776360784894293,0.05949911439337633,-0.035936935807758,-0.028982871820477516,0.0955029194788148,0.1437908496732026,0.1568627450980392,0.11764705882352941,0.037037037037037035,0.514161220043573,0.355119825708061,inf,0.7602677078923549,28.15925925925926,65982595.11805555,26.39573797041496,inf
2016-07,10.75014146644306,130.61201710786264,24.407224808253464,23.251778624942403,43.8210324953431,41.42680628536204,2.9675145486868737e-08,-0.042102551238894115,0.2393489775944647,0.028001460662410455,-0.019709962744086724,-0.014789571793095773,0.04768807493155971,0.09123434704830054,0.09302325581395349,0.09123434704830054,0.09660107334525939,0.36493738819320215,0.23792486583184258,inf,1.0644308790398402,19.94840787119857,150926608.1344186,33.81610060950783,inf
2016-10,15.69809966804974,212.61808977670626,29.851251059269288,46.219981088448286,72.74526568139198,62.236588172927384,1.0286312067270978e-07,-0.08348202110055655,0.36285296977518744,0.06887899199307469,-0.031660611159688976,-0.027727716079143098,0.10053960295481039,0.1888412017167382,0.1459227467811159,0.10085836909871244,0.07510729613733906,0.41416309012875535,0.3218884120171674,inf,0.8877084339494636,27.511351931330474,54090197.31511803,26.222209064919447,inf
2017-01,12.103775478578314,195.48321126760965,21.854565886992795,51.76509032165729,73.99045679637463,50.90658023680857,0.0,-0.14229430083062547,0.3663120070527406,0.06846483868822033,-0.04634889871006295,-0.02312764855650678,0.11481373772832355,0.1948608137044968,0.13276231263383298,0.09207708779443255,0.07922912205567452,0.3875802997858672,0.29336188436830835,inf,0.7521280780047301,27.057783725910067,53844804.99539615,25.82914031079939,inf
