,당기순이익/총자본,영업이익/총자본,판매 및 관리비/총자본,영업현금흐름/총자본,총자본,최대주주비율,차입금의존도,매출총이익/총자본,매출채권/총자본,BW금액/총자본,조회공시요구카운트,결산기간_주가변동률,유상증자금액/총자본,최대주주비율_변동성,결산기간_거래량증가,최대주주변경카운트,타법인주식및출자증권취득결정금액/총자본,불성실공시법인지정카운트,CB금액/총자본,상호변경카운트,최대주주변경을수반하는주식양수도금액/총자본,업종변경카운트,경영권분쟁소송,특수관계인에대한자금대여금액/총자본,최대주주변경을수반하는주식담보제공금액/총자본
2014-07,0.15488070213826471,0.18679932336908192,0.12490069275530216,0.07330166921241954,0.039923975971447444,0.017189771285305876,0.020717725959444544,0.29517251501419,0.06688224006828548,4.113289180524105e-05,0.003463535255937978,0.007025696093353361,0.00035525226837456803,0.0023163551328472913,0.0027067665859597067,0.00026457826500868824,1.7220360765132882e-06,0.00045321114242629355,0.002976578272712414,0.00031765862949212256,0.00019095612129150326,9.050426588577246e-05,2.6923460429439922e-05,5.138046575127678e-07,0.0
2014-10,0.2116376476365003,0.20919824727198924,0.0863660058270325,0.09336226375511901,0.09194658072840867,0.07091713737879266,0.06273904422438302,0.07436907361489555,0.03531733384935835,8.741007043994846e-05,0.01785891966118189,0.006593000107889391,0.0013250546172044117,0.007736219116249492,0.002874091602128951,0.0032600669947189576,0.001945646749117598,0.0011401140638854733,0.018268694136370448,0.0006274799925382681,0.001980632153098484,0.0003106426349135015,0.0001224985008015195,1.0819656234536537e-05,5.375656747836496e-06
2015-01,0.19868424647819638,0.21589970346999976,0.08243563784674103,0.07667170615770165,0.1141270129834327,0.07307342190305134,0.05201645113682613,0.07968401344969217,0.025977038967416398,0.00013241573190937231,0.016709896874720548,0.015123233078598655,0.0014570250539035524,0.011577786040948846,0.0006977837188941645,0.005244278573317184,0.0012273019103442718,0.0017472517057198847,0.02363654547610859,0.0012290388339799357,0.002119794889775291,0.0002893212610803157,0.00016351042728291555,4.7746163191436725e-06,7.08094140397059e-05
2015-04,0.177713916187071,0.18946876091226642,0.09688048261851682,0.09375003813048817,0.10957612803198483,0.08336804026855685,0.05679004005699193,0.07109587026875064,0.03297193607138969,9.625640916290966e-05,0.018234002391538603,0.01327772459848119,0.0020627591511016806,0.006747758209881387,0.0006586462604438047,0.006303358844948002,0.0023193327872610336,0.00211164619716232,0.032678096230601396,0.0005740966577983555,0.0024147768517854434,0.00044173160162649586,0.00017793800290105384,8.432672880916257e-06,0.00027823058640902824
2015-07,0.1796143795221401,0.19196428825077444,0.08127243679817096,0.08712825573365597,0.12251705754219591,0.08504246756033387,0.0564817806580124,0.07381878980681067,0.025524932893306988,0.0001584032572024566,0.013437962787765791,0.012356914906293261,0.0018702315113673527,0.018908579781530675,0.0017258131533450963,0.006047656894502247,0.002038478811211575,0.002246410204827185,0.03296565072295781,0.0013207670904423446,0.0025344548212608937,0.00011395072668848354,0.00027486323271503716,3.542868761808674e-06,0.000631930463726617
2015-10,0.1851703272417298,0.1830485481170829,0.08228933114223051,0.0836327073803753,0.1288537971792332,0.08526560370032261,0.04413073886172402,0.07324096610028726,0.025067995258489774,0.0003083860930724631,0.01561727223186266,0.017048026417672106,0.001184238734047224,0.021987969855709836,0.002797234759603548,0.007447119000962897,0.003325561201656677,0.0014323439769457992,0.033597602901192875,0.0011402698820632126,0.002142758142839932,9.53237569968581e-05,0.0002534105038106157,9.857725404263598e-06,0.0009126098346837887
2016-01,0.17579380387403898,0.16215081515415497,0.08768287282718246,0.09023945400957739,0.12669118484249342,0.08731184525416155,0.05226872596253386,0.06256205093370068,0.034847355174120735,0.00029605721948544063,0.010243815139586485,0.017343038518525748,0.0016408326291612375,0.02047764602591971,0.0025462075306583163,0.008446976894631475,0.005200274727157153,0.001969305984401408,0.04780796357916821,0.0010528612016418096,0.0021788145521437602,5.988483648980314e-05,0.00026501345473718354,2.0761125382655833e-05,0.0009024385489455983
2016-04,0.17563581258900327,0.1731602255546947,0.07453312062380683,0.11053655141672591,0.1193031949426489,0.09687196725083654,0.04005193262997683,0.06727557867446175,0.025043940198736715,0.00042455355849153713,0.007724584360032509,0.024777821076185924,0.0007129386225983338,0.010878872439923644,0.002596806499646769,0.010585226668894719,0.004866637199885644,0.002558236041759339,0.046405827769843914,0.0018902699494432506,0.002510202892368126,0.00017285346857020802,0.00012929393988487677,2.623196302489435e-05,0.0013273196685548404
2016-07,0.11302213875541611,0.15994595082018792,0.1195878284194272,0.08886381099737993,0.05823888004095911,0.02594027093320187,0.02116324743077846,0.2799798777402221,0.09492368753406001,6.855286410577184e-05,0.003792226184734705,0.011998466618517493,0.000573911571711621,0.004648267754663742,0.004271031308658963,0.0018962166300066576,0.00044852883528896133,0.0009724192349165324,0.007508200757281828,0.0009043660410060387,0.0005116649049038029,0.0003265184846388781,8.467927718213981e-05,1.4948061461183068e-05,0.00031430879928891924
2016-10,0.20046496869894995,0.17491661797632502,0.08285117652912766,0.10467580735158849,0.12539899165849305,0.09170498060893949,0.032843433985282944,0.06337396999101362,0.018906102515863644,0.0003012968460489595,0.009171716952664714,0.021510864185918868,0.0009144331623827602,0.010411535668219011,0.0028378584266519425,0.00784836395654116,0.005038215150605444,0.0030261594095612296,0.03842181419884541,0.0013141265921540262,0.0015858260917863904,0.00014561060121174235,0.00043752524228903234,1.6037766572588825e-05,0.0018825664329628234
2017-01,0.20075523059814496,0.1780734992572334,0.09265946938797792,0.08020169597993042,0.12790158068657662,0.10331131848756121,0.035119690713482095,0.06391075665266842,0.02242694187842176,0.00017093682074360907,0.01059857075538241,0.025513426183237976,0.0008794561068576884,0.012733144802022924,0.001076274406947102,0.005869531185544659,0.0024694342251486666,0.00244651263957123,0.029264050536063756,0.0008452526099067044,0.00108310126410405,0.00015025253438578201,0.0005874923420393765,2.8932889245741055e-05,0.0019234470568015862
