,매출총이익,총자본,영업이익,당기순이익,매출채권,판매 및 관리비,영업현금흐름,최대주주비율,경영권분쟁소송+최대주주변경카운트+불성실공시법인지정카운트+조회공시요구카운트+상호변경카운트+업종변경카운트,차입금의존도,결산기간_주가변동률,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액+타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액+BW금액+CB금액+유상증자금액,최대주주비율_변동성,결산기간_거래량증가
2016-01,0.16259151791637527,0.1477487441958752,0.11887106818162224,0.08545385289699697,0.11735813287800548,0.11983207784835484,0.08772905305745307,0.04923184083790755,0.03331176261930717,0.006342655178517367,0.02109432868751516,0.014155286013268029,0.024175287508279197,0.012104392180522398
2016-04,0.16409970235923277,0.14413011379215196,0.12999040324083663,0.10123898615506675,0.10886734912266208,0.11239510921585309,0.09546717871969469,0.04909463398436664,0.02775890115822997,0.0070591417356544416,0.023055465821353358,0.013914946711919294,0.015021245756762072,0.007906822226216307
2016-07,0.16532427135471478,0.14255863918826267,0.13226217697301929,0.10291539921365275,0.10489426786107098,0.1061357031910933,0.08108198727154688,0.06011357198826742,0.028027439280468962,0.010729067645495655,0.020527304401922034,0.018645672982582136,0.01786723109967752,0.008917267548225746
2016-10,0.1657485139013127,0.14616971978116797,0.1327831953826923,0.1064631490757245,0.1102639862219224,0.10845249636187046,0.08113924271565158,0.06501395659861106,0.02268489549923348,0.009422214824405832,0.021387121004880934,0.015489400225607833,0.011451128454134443,0.0035309799527844027
2017-01,0.15995599317381923,0.14537420110871957,0.13337388973092773,0.11180234955309937,0.11231638107332453,0.10609247736851936,0.08047191112788611,0.06948198519279754,0.022173413970475387,0.007773514241031466,0.023842374349434273,0.014323561648707225,0.011168428969668012,0.0018495184915904629
2017-04,0.1561299667176993,0.13382017567826815,0.13127270865474772,0.11299052524145238,0.10048887042041947,0.09753091062020444,0.07816539745619255,0.08694210451946716,0.02444417312525523,0.016144488066070023,0.020418015997647334,0.030340209905513973,0.010031832246404797,0.0012806213506574952
2017-07,0.15367030358631006,0.12884632406076735,0.12173985439201324,0.10514074196799272,0.1009890337967013,0.09736746805303537,0.0723488681937283,0.09577705665717148,0.0382868249357017,0.014140538225092139,0.01933727261424035,0.03088628636391076,0.017020849089864492,0.004448578063470715
2017-10,0.15338169243946587,0.13396913741490485,0.12490524268349856,0.10438883711058435,0.09933368720380463,0.09723130649377826,0.07037067921010531,0.09544850272330642,0.02980697940886649,0.016269080680809688,0.019915983947698473,0.031716666972023314,0.015469707067396646,0.007792496643757085
2018-01,0.15663914795766376,0.13131845528671335,0.11980480688067195,0.09695919828316682,0.09830485714587577,0.10121097414717882,0.06989795492231268,0.10023758127451658,0.025738490238636922,0.01804402777520745,0.01950376382190988,0.03338755096929315,0.017031930957322743,0.011921260339530244
2018-04,0.1638651950503116,0.12847399158830505,0.13188347259254296,0.10336174898158429,0.10067693418614118,0.10853720115389806,0.07898863831335687,0.08085636179404113,0.018628795765147838,0.018113384787217347,0.019926163703268007,0.026102131901171756,0.006674436852533288,0.013911543330480594
2018-07,0.16332942600184353,0.1326754034632672,0.1282181918677684,0.10312138674305213,0.1008817704515815,0.10792025188531859,0.08221919322273641,0.07497901230054414,0.014628589633494775,0.021135042268514974,0.02071085412727213,0.022874577276076093,0.008434842910452578,0.018871457848077606
2018-10,0.13386026362150938,0.11692418228256107,0.12249260205968235,0.11228777406901755,0.08777279057610489,0.0746038194947087,0.08897303810342837,0.10954435508108831,0.017297285630058553,0.051316969587185006,0.016385036701095673,0.03923994148998675,0.009207852011341723,0.02009408929223159
2019-01,0.14286875016545297,0.13159876658555472,0.11850499759043337,0.10227127142773645,0.10386907708062235,0.08605075669550254,0.07707852465700116,0.09526553976643187,0.02634546754592825,0.03279197358246285,0.020976414007025428,0.035086196981267186,0.0070254332070426445,0.02026683070753828
2019-04,0.1432176007018249,0.13368215822417712,0.12155579107126928,0.10698142134844087,0.09862422952873352,0.08493134994685544,0.09018248033617911,0.08998229861771213,0.026157942697725145,0.03208440484484597,0.020844779879346294,0.028336613768884234,0.011723913958082767,0.011695015075923266
2019-07,0.14013199466858903,0.12527810031984832,0.12227894726962496,0.1072049280610595,0.09027376984777202,0.07778405958519749,0.07871066614952259,0.09807516569414117,0.03316285901602252,0.044317110203590214,0.019136876126389656,0.03577598028589151,0.01430449157389609,0.013565051198454772
2019-10,0.1483895366853907,0.13045797058832723,0.11352449132085858,0.0958560208915611,0.0974732788852977,0.088907065030666,0.08528952117998227,0.10175864630081914,0.03679678293367437,0.03640422454040638,0.021369755939356,0.029910037031168346,0.007664525026258299,0.00619814364623397
2020-01,0.16935737622253946,0.13942477518840626,0.11773292636177887,0.08776439086839286,0.11698526804237991,0.1078031961447616,0.10054949548121914,0.07280267548163481,0.020629677642161136,0.014513853491510761,0.022341607891350656,0.01797595835845955,0.010026503561394872,0.0020922952640099355
2020-04,0.16359203338190834,0.13705391983427143,0.12636380013459797,0.09180384735154146,0.11507709890762055,0.10286257728432643,0.1095207027133252,0.06614085866161806,0.019451528657591876,0.016624725210365544,0.022602750123979103,0.01864280416628188,0.009014419690270805,0.0012489338823013793
2020-07,0.16329971584330666,0.13448717518332862,0.1282935068476261,0.09739584959138055,0.11672941612277986,0.1025498507762463,0.11087383131455146,0.06988557619511239,0.01705155001214017,0.011896047665374745,0.02344209723430325,0.018236854551514216,0.00518644655055301,0.0006720821117827458
2020-10,0.1635763657758411,0.138159001705374,0.13169947755430672,0.10851301268275533,0.11589337889097616,0.10261106978632548,0.10337089980251711,0.06431023784232902,0.012482832162492822,0.014571479931021798,0.022878068330445672,0.017758245175849258,0.003571174929742829,0.0006047554300227661
2021-01,0.1490984566995017,0.12695508415251802,0.13492104631860316,0.12395720896606573,0.0985180603187986,0.08391263506678011,0.09517696550045984,0.0791023220044026,0.011248610062316788,0.039707924224834955,0.020232786881299664,0.033295229703629865,0.0032355826265131255,0.0006380874742758715
