,매출총이익,총자본,영업이익,당기순이익,판매 및 관리비,매출채권,영업현금흐름,최대주주비율,차입금의존도,결산기간_주가변동률,BW금액+CB금액+유상증자금액,경영권분쟁소송+불성실공시법인지정카운트+조회공시요구카운트,최대주주변경카운트,최대주주비율_변동성,상호변경카운트+업종변경카운트,결산기간_거래량증가,타법인주식및출자증권취득결정금액+특수관계인에대한자금대여금액,최대주주변경을수반하는주식담보제공금액+최대주주변경을수반하는주식양수도금액
2014-07,0.18202394014619971,0.15845943100710302,0.12926139910982667,0.09289900025223641,0.1269750187875892,0.1250724097395514,0.07317284897014226,0.03716897676139369,0.01002855020975918,0.025418044006087312,0.009615256881231677,0.013668453241613773,0.0025020244847060702,0.002225339550701984,0.0017450089484717327,0.008552541479313698,0.0007142798987306464,0.0004974765253416861
2014-10,0.17503782772903156,0.15457283034241573,0.1264294663839405,0.09720769245671343,0.1253284669552346,0.11867427465596783,0.07615073665516012,0.04461957107130307,0.011597562703669293,0.026033894883672637,0.013270206068026853,0.014635442771761353,0.0021842862955921724,0.004222000320325895,0.0014394700461274937,0.006838005793063119,0.00045617715475993717,0.001302087713234451
2015-01,0.16549419977535879,0.15034296027779154,0.1279695301076258,0.09404842532522527,0.1146732546946766,0.1176091754861941,0.08084218071288242,0.052134394887889186,0.011664716918073668,0.024688966675239506,0.014464223692493497,0.02107498836266828,0.004703192187158453,0.008260540837104008,0.002126285927537512,0.007047864956626279,0.0004677664242082126,0.0023873327512468675
2015-04,0.15922485317976878,0.143037922105307,0.13703515056556168,0.10444806113168044,0.1043054963123082,0.09635609902903453,0.08387116271867667,0.05918315054997472,0.018746956431446644,0.01867202992085443,0.023937745228267606,0.028627383378428736,0.006526280589931025,0.0034417207392956994,0.0015049213133394965,0.00738126748228182,0.0008454481647470326,0.0028543511590953773
2015-07,0.15956382119561016,0.13961098324602608,0.1288287113516401,0.09924286368092858,0.10215020599344463,0.10160098953592875,0.08442511251678167,0.05870015328625927,0.01804464318994378,0.018023303021172818,0.029297486205039844,0.03165842992457411,0.00721542567975908,0.007892188590549654,0.001203405646098398,0.008163062185263947,0.0016620259090899985,0.002717188841888992
2015-10,0.14682252042018748,0.13950065953747634,0.11836287934624615,0.09409540989787693,0.09836819250845473,0.09470367819028756,0.08270534623643822,0.07020792054954432,0.015890492892955754,0.015225164372007468,0.0370753962593814,0.0326838076668039,0.009280475386855542,0.022350740423442376,0.001333069249881757,0.014962029268614709,0.003184264292723273,0.003247953500822196
2016-01,0.16102380552002757,0.14108393084616608,0.12144635962661428,0.08883420060126956,0.11640050751202338,0.10890839318031556,0.09088941568423112,0.050147250627337825,0.00880968106548533,0.02025692667229678,0.02344902647268895,0.021564850081737058,0.007115610341743321,0.02497846285668856,0.0011810457842601385,0.010202679213010747,0.0013217244285719952,0.002386129485531758
2016-04,0.16278979794905135,0.14151955751789386,0.12863487656025535,0.10119607124301819,0.11192111131223553,0.10492764917871444,0.09384348923980437,0.05100914658218864,0.008635224081020427,0.021492340547531717,0.020491467806824752,0.018908719133557485,0.0071732035678305885,0.014901953535288535,0.0019345640893437207,0.0070915796450913195,0.0008974343374601218,0.002631813672889668
2016-07,0.1602418612747127,0.13858383351138223,0.1304871379476993,0.10328903907511022,0.1008604930904202,0.10264880078134171,0.08233675529854577,0.0668375813257986,0.0110333056572929,0.020410593831483394,0.027949784494065703,0.01898234820312408,0.008411213968061996,0.01548211310395991,0.0005777506645662931,0.006785335211345249,0.0023544799935727515,0.0027275725675169637
2016-10,0.15837239403058098,0.13986932441796582,0.13002650305546692,0.10921518434708763,0.10198670244401903,0.1073954158141671,0.08241028857600936,0.07319148020793166,0.010181089195964978,0.020243284627408,0.02589435450613488,0.014091757267287215,0.006911473115149993,0.010962540457578922,0.0004031268050276177,0.0045221428900646095,0.001473032323299362,0.002849905918855884
