,BW금액,CB금액,경영권분쟁소송,불성실공시법인지정카운트,상호변경카운트,업종변경카운트,유상증자금액,조회공시요구카운트,최대주주변경을수반하는주식담보제공금액,최대주주변경을수반하는주식양수도금액,최대주주변경카운트,타법인주식및출자증권취득결정금액,특수관계인에대한자금대여금액,결산기간_거래량증가,결산기간_주가변동률,당기순이익,매출채권,매출총이익,영업이익,영업현금흐름,차입금의존도,총자본,최대주주비율,판매 및 관리비,최대주주비율_변동성
2017-10,876473063.973064,9043184161.794613,0.2239057239057239,0.13131313131313133,0.08922558922558922,0.04040404040404041,2428899324.119529,0.28114478114478114,1912099579.36532,2477060773.1936026,0.29124579124579125,3018481326.057239,0.0,inf,0.7732087753570015,-2115217.0390151516,13386972.137112794,1836807.6255429292,-1100042.783051347,-681340.2109806397,24.68895622895623,47818688.80862374,27.30898557154881,2936850.424987374,inf
2018-01,1838686440.677966,10074741120.0,0.23220338983050848,0.13898305084745763,0.0847457627118644,0.03559322033898305,1412218061.276271,0.2559322033898305,1682852691.818644,2530083367.572881,0.27796610169491526,3572562469.9288135,0.0,inf,0.9131893560878686,-2240171.4446864408,13344058.247792372,1662023.4015706214,-1210914.6816652545,-876922.1325268361,25.27980508474576,48147974.58711017,26.887392617393715,2872938.0860776836,0.009645737715633597
2018-04,1813738959.742351,9372221608.985508,0.2576489533011272,0.143317230273752,0.07407407407407407,0.033816425120772944,1392012625.7713366,0.20450885668276972,1042244684.2302737,2047499926.6988728,0.2431561996779388,3196279427.484702,16.10305958132045,inf,0.9394816771023041,-2431975.5996403648,13320788.457851583,1795338.6814023077,-1167623.2096940419,-790444.1751663983,25.348878153515834,51014739.67568975,28.011067356099165,2962961.8858118625,0.007770655764666824
2018-07,1566201418.5333333,9174216031.682539,0.273015873015873,0.15079365079365079,0.07301587301587302,0.049206349206349205,1227433896.3269842,0.1746031746031746,1018914217.3126984,1480024804.315873,0.19682539682539682,2919806674.857143,15.873015873015873,inf,0.7923291790053721,-2544679.1211798945,13395954.244806878,1864976.416480159,-1135614.8064933862,-766319.7504272487,26.155624338624342,50364178.27946825,28.090228946142464,3000591.216399471,inf
2018-10,2168472901.0686455,10164740817.179962,0.2504638218923933,0.19480519480519481,0.08905380333951762,0.04638218923933209,1061301234.3747681,0.17625231910946196,1572250813.7495363,1587145533.374768,0.2300556586270872,3735370326.974026,0.0,inf,0.6647859122636852,-3041001.460013915,12167459.419772727,1940338.3868089053,-1293864.9769016698,-846191.3485652442,28.707815398886826,47477227.08040353,25.531224969559297,3234359.106971243,inf
2019-01,838687391.4956822,8179614525.837651,0.20379965457685664,0.18307426597582038,0.09153713298791019,0.044905008635578586,1017216358.8635578,0.19689119170984457,2370540237.6044903,2110832806.1398964,0.2659758203799655,3619397386.2953367,0.0,inf,0.48611021152868644,-2540498.3982037995,10615438.629158031,1862750.0994530802,-1093290.0247769142,-577131.1739781232,27.08621761658031,45545361.14272453,26.736222607651356,2956037.9270351175,inf
2019-04,773056994.8186529,8005607292.055267,0.16580310880829016,0.18134715025906736,0.09153713298791019,0.046632124352331605,784432947.1917099,0.23661485319516407,2578324498.1865287,2304906921.490501,0.2849740932642487,3824356688.848014,0.0,inf,0.3827166792554825,-2974699.283550662,12521675.165142488,2040062.1685305124,-1251708.9870451929,-475374.8850172711,28.147089810017274,48330800.57177462,26.508651688023917,3291768.226358664,inf
2019-07,1400834724.5409014,7883069065.943238,0.21035058430717862,0.17696160267111852,0.1018363939899833,0.05175292153589316,751155491.1786311,0.2671118530884808,2804942332.3489146,1807836598.3388982,0.32220367278797996,4037904931.480801,66.7779632721202,inf,0.3902449847704113,-4203622.751414858,14307334.467116026,1988414.1780509185,-1877134.9867334445,-540385.0226279912,29.539703672787983,54398535.083635226,26.51835099457524,3864865.1268628268,inf
2019-10,1021260997.0674487,6209032983.870968,0.24486803519061584,0.1495601173020528,0.08797653958944282,0.04398826979472141,1220502418.9340177,0.30498533724340177,2405474074.181818,1650396814.1202345,0.2668621700879765,2979469574.7390027,73.31378299120234,inf,0.3806594516171978,-3576013.862849462,11917811.603944283,1649192.9744037148,-1645608.8678775658,-472007.1197030792,27.352379032258067,51370011.71564883,28.75689256265563,3293921.3580303025,inf
2020-01,971910112.3595506,7135492661.516854,0.2556179775280899,0.14887640449438203,0.07865168539325842,0.032303370786516857,2433928118.05618,0.2794943820224719,1120770993.6292136,1738071088.4676967,0.20786516853932585,3453358047.81882,1221.9101123595506,inf,0.35220325089780924,-3770751.41548338,11743943.202751638,1516870.1535533706,-1934415.7461259365,-787571.1685557117,26.71640683520599,57906178.44527388,29.086714077224535,3450625.4902703655,inf
2020-04,1112033195.020747,6245831017.704011,0.25311203319502074,0.13831258644536654,0.07883817427385892,0.035961272475795295,2782121784.73444,0.27247579529737204,1327456611.9183955,1548167173.0802214,0.20885200553250347,3744692839.836791,1134.1632088520055,inf,0.33761296419242426,-2891750.6408483176,10263152.700346936,1618347.120985477,-1563154.5866897188,-842239.3145965884,26.132667127708622,54817479.46837482,29.07791167112571,3177353.6402627937,inf
2020-07,744911804.6132971,7868370306.377205,0.22930800542740842,0.13704206241519673,0.09905020352781546,0.029850746268656716,3388320795.018996,0.25508819538670285,1000594919.9389416,1944358998.4369063,0.1926729986431479,3493565116.804613,1112.6187245590231,inf,0.4331927799897756,-2873506.433189733,10351140.94644957,1520225.716333107,-1774941.9573824059,-1150756.9017729533,25.241181592039798,60391122.30431366,29.088293554094324,3291548.950673903,inf
2020-10,843624161.0738255,8995762806.442953,0.2134228187919463,0.13154362416107382,0.0912751677852349,0.026845637583892617,4109990048.587919,0.19463087248322147,1195135563.7208054,1583179366.3114095,0.2,3705462364.3758388,1100.6711409395973,inf,0.5289333737205641,-2625147.40060179,10842216.332419463,1687246.2322416108,-1668254.3871991052,-1034205.2751498881,25.1031644295302,61678577.914520144,29.072035761242525,3354266.727276287,inf
2021-01,1244473342.0026007,10034425836.478544,0.21976592977893367,0.11313394018205461,0.08192457737321196,0.01950585175552666,4389280000.183355,0.15474642392717816,1088372310.682705,1394409798.686606,0.20156046814044212,2923277021.0676203,26.00780234070221,inf,0.6331211507361166,-2623205.4411064154,11297471.562392717,1891758.6939174251,-1638158.962407889,-1137487.154806025,25.15324122236671,60853710.55038686,28.995589309962998,3528787.595156047,inf
